ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,6.6%,"3m,6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,3.6%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,5.4%,6m+,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,4.8%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,5.2%,"6m,6m+",37.3%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,5.9%,"6m,6m+",31.5%,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,50.0%,6m+,20.6%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,6.2%,6m+,60.2%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,37.5%,6m+,30.4%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,3.9%,6m+,59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,3.7%,6m+,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,5.6%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,4.9%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,4.4%,6m+,38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,4.7%,6m+,65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,3.0%,,40.0%,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,3.6%,6m+,51.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,62.5%,6m+,43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,3.3%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,37.5%,,58.8%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,,,,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,4.5%,6m+,62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,,,,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,,,,No
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,Medium,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,3.5%,,,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,2.7%,6m,38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,50.0%,6m+,48.3%,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,2.9%,6m+,50.7%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,37.5%,6m+,66.8%,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,4.3%,6m+,79.3%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,,,,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,37.5%,6m+,38.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,5.5%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,5.2%,6m+,56.1%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,4.1%,"6m,6m+",51.1%,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,,,,No
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,3.5%,6m+,66.5%,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,,,,No
66,Plus One,https://leetcode.com/problems/plus-one/,Easy,4.4%,6m+,49.5%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,6.6%,"3m,6m,6m+",53.9%,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,,,,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,37.5%,6m+,60.1%,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,37.5%,6m+,53.5%,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,37.5%,6m+,46.8%,No
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,37.5%,,39.7%,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,,,,No
