ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,10.0%,"6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,8.4%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,6.8%,6m+,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,7.7%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,6.9%,"3m,6m,6m+",37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,,,,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,62.5%,6m+,31.5%,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,5.3%,6m+,20.6%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,50.0%,6m+,59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,5.6%,6m+,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,7.7%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,6.8%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,6.8%,6m+,38.6%,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,50.0%,6m+,65.5%,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,6.1%,"6m,6m+",43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,37.5%,6m+,67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,6.4%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,50.0%,6m+,58.8%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,37.5%,6m+,65.3%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,50.0%,6m+,62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,50.0%,6m+,61.3%,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,37.5%,6m+,46.2%,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,6.6%,6m+,44.7%,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,37.5%,6m+,38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,37.5%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,,,,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,50.0%,6m+,65.4%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,50.0%,6m+,59.0%,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,62.5%,6m+,42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,6.5%,"6m,6m+",66.8%,No
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,,,,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,5.4%,6m+,42.4%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,50.0%,6m+,81.6%,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,50.0%,6m+,79.3%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,5.5%,"6m,6m+",72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,37.5%,,38.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,37.5%,6m+,74.9%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,5.9%,6m+,56.1%,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,4.9%,"6m,6m+",40.5%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,6.4%,"3m,6m,6m+",51.1%,No
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,Medium,37.5%,6m+,74.6%,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,4.6%,6m+,66.5%,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,,,,No
66,Plus One,https://leetcode.com/problems/plus-one/,Easy,37.5%,6m+,49.5%,No
67,Add Binary,https://leetcode.com/problems/add-binary/,Easy,,,,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,4.3%,6m+,41.4%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,5.6%,6m+,53.9%,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,4.0%,6m+,60.1%,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,5.3%,6m+,53.5%,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,37.5%,,69.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,5.6%,"6m,6m+",46.9%,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,50.0%,6m+,82.0%,No
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,37.5%,6m+,64.3%,No
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,,,,No
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium,,,,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,4.0%,6m+,56.2%,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,37.5%,,49.3%,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,37.5%,6m+,58.1%,No
86,Partition List,https://leetcode.com/problems/partition-list/,Medium,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,62.5%,6m+,54.4%,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,4.5%,6m+,37.6%,No
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,3.9%,6m+,55.3%,No
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,50.0%,6m+,66.6%,No
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,,,,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,4.0%,6m+,72.2%,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,4.9%,6m+,63.1%,No
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,62.5%,6m+,68.3%,No
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Medium,,,,No
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,Medium,,,,No
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,50.0%,6m+,78.7%,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,6.5%,6m+,56.4%,No
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,37.5%,6m+,53.1%,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,4.9%,,,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,4.5%,6m+,52.8%,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,4.3%,6m+,44.9%,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,4.9%,6m+,47.0%,No
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,Medium,,,,No
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,50.0%,6m+,44.7%,No
132,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii/,Hard,,,,No
134,Gas Station,https://leetcode.com/problems/gas-station/,Medium,4.0%,6m+,47.5%,No
136,Single Number,https://leetcode.com/problems/single-number/,Easy,37.5%,6m+,77.3%,No
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,,,,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,6.4%,"3m,6m,6m+",46.8%,No
148,Sort List,https://leetcode.com/problems/sort-list/,Medium,,,,No
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,,,,No
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,5.0%,6m+,36.0%,No
155,Min Stack,https://leetcode.com/problems/min-stack/,Medium,50.0%,6m+,57.7%,No
159,Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,Medium,,,,Yes
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,,,,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,,,,No
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,Medium,,,,No
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,37.5%,6m+,64.6%,No
168,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,Easy,,,,No
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,4.9%,6m+,66.1%,No
171,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,Easy,37.5%,6m+,67.2%,No
172,Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes/,Medium,,,,No
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,Medium,4.2%,6m+,76.1%,No
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/,Medium,,,,No
178,Rank Scores,https://leetcode.com/problems/rank-scores/,Medium,,,,No
179,Largest Number,https://leetcode.com/problems/largest-number/,Medium,5.2%,6m+,42.6%,No
181,Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers/,Easy,37.5%,6m+,72.8%,No
185,Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries/,Hard,,,,No
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,,,,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,37.5%,6m+,44.4%,No
190,Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy,,,,No
195,Tenth Line,https://leetcode.com/problems/tenth-line/,Easy,4.9%,6m+,36.1%,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,4.9%,6m+,52.9%,No
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,5.4%,6m+,63.8%,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,37.5%,6m+,59.2%,No
204,Count Primes,https://leetcode.com/problems/count-primes/,Medium,37.5%,6m+,35.7%,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,,,,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,6.1%,6m+,80.2%,No
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,3.5%,6m+,50.8%,No
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,37.5%,6m+,69.2%,No
213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,,,,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,5.1%,6m+,68.8%,No
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,50.0%,6m+,64.1%,No
219,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/,Easy,37.5%,,50.8%,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,,,,No
222,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes/,Easy,2.5%,6m+,72.0%,No
223,Rectangle Area,https://leetcode.com/problems/rectangle-area/,Medium,,,,No
224,Basic Calculator,https://leetcode.com/problems/basic-calculator/,Hard,37.5%,6m+,46.5%,No
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,4.6%,6m+,46.6%,No
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,,,,No
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,5.0%,6m+,68.7%,No
237,Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,Medium,5.1%,6m+,83.6%,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,5.3%,6m+,68.6%,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,4.8%,6m+,48.4%,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,,,,No
250,Count Univalue Subtrees,https://leetcode.com/problems/count-univalue-subtrees/,Medium,,,,Yes
252,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,Easy,,,,Yes
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,50.0%,6m+,52.5%,Yes
258,Add Digits,https://leetcode.com/problems/add-digits/,Easy,3.7%,6m+,68.6%,No
268,Missing Number,https://leetcode.com/problems/missing-number/,Easy,50.0%,6m+,71.6%,No
269,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,Hard,,,,Yes
271,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,Medium,,,,Yes
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,Hard,,,,No
274,H-Index,https://leetcode.com/problems/h-index/,Medium,37.5%,6m+,41.1%,No
278,First Bad Version,https://leetcode.com/problems/first-bad-version/,Easy,37.5%,,46.8%,No
283,Move Zeroes,https://leetcode.com/problems/move-zeroes/,Easy,4.4%,6m+,63.5%,No
284,Peeking Iterator,https://leetcode.com/problems/peeking-iterator/,Medium,,,,No
289,Game of Life,https://leetcode.com/problems/game-of-life/,Medium,,,,No
290,Word Pattern,https://leetcode.com/problems/word-pattern/,Easy,,,,No
292,Nim Game,https://leetcode.com/problems/nim-game/,Easy,5.2%,6m+,59.2%,No
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,,No
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,37.5%,6m+,60.3%,No
303,Range Sum Query - Immutable,https://leetcode.com/problems/range-sum-query-immutable/,Easy,,,,No
307,Range Sum Query - Mutable,https://leetcode.com/problems/range-sum-query-mutable/,Medium,3.6%,6m+,42.6%,No
310,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/,Medium,,,,No
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,62.5%,6m+,47.9%,No
329,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,Hard,5.1%,6m+,56.3%,No
332,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/,Hard,,,,No
337,House Robber III,https://leetcode.com/problems/house-robber-iii/,Medium,,,,No
338,Counting Bits,https://leetcode.com/problems/counting-bits/,Easy,4.5%,,80.4%,No
339,Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum/,Medium,3.4%,,85.9%,Yes
341,Flatten Nested List Iterator,https://leetcode.com/problems/flatten-nested-list-iterator/,Medium,,,,No
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,4.3%,6m+,65.8%,No
354,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes/,Hard,,,,No
355,Design Twitter,https://leetcode.com/problems/design-twitter/,Medium,37.5%,6m+,44.2%,No
367,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square/,Easy,,,,No
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,Medium,,,,No
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,Medium,,,,No
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/,Medium,,,,No
382,Linked List Random Node,https://leetcode.com/problems/linked-list-random-node/,Medium,,,,No
383,Ransom Note,https://leetcode.com/problems/ransom-note/,Easy,,,,No
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,Easy,37.5%,6m+,65.0%,No
392,Is Subsequence,https://leetcode.com/problems/is-subsequence/,Easy,4.0%,"30d,3m,6m",48.8%,No
394,Decode String,https://leetcode.com/problems/decode-string/,Medium,37.5%,6m+,62.2%,No
395,Longest Substring with At Least K Repeating Characters,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/,Medium,,,,No
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/,Medium,,,,No
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits/,Medium,4.0%,6m,36.4%,No
405,Convert a Number to Hexadecimal,https://leetcode.com/problems/convert-a-number-to-hexadecimal/,Easy,,,,No
407,Trapping Rain Water II,https://leetcode.com/problems/trapping-rain-water-ii/,Hard,,,,No
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,Hard,37.5%,6m+,59.8%,No
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/,Easy,,,,No
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,,,,No
417,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,3.6%,6m+,60.6%,No
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,3.8%,6m+,59.0%,No
433,Minimum Genetic Mutation,https://leetcode.com/problems/minimum-genetic-mutation/,Medium,,,,No
435,Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,Medium,,,,No
