ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,7.1%,6m+,72.2%,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,,,,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,,,,No
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,,,,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,,,,No
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,,,,No
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,4.6%,6m+,67.8%,No
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,5.8%,6m+,47.9%,No
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/,Medium,10.2%,6m+,69.6%,Yes
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/,Medium,11.0%,"6m,6m+",55.3%,No
381,Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/,Hard,10.4%,6m+,36.4%,No
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/,Easy,,,,Yes
432,All O`one Data Structure,https://leetcode.com/problems/all-oone-data-structure/,Hard,,,,No
443,String Compression,https://leetcode.com/problems/string-compression/,Medium,5.7%,6m+,59.5%,No
449,Serialize and Deserialize BST,https://leetcode.com/problems/serialize-and-deserialize-bst/,Medium,,,,No
465,Optimal Account Balancing,https://leetcode.com/problems/optimal-account-balancing/,Hard,8.5%,6m,50.3%,Yes
500,Keyboard Row,https://leetcode.com/problems/keyboard-row/,Easy,,,,No
714,Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Medium,,,,No
736,Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression/,Hard,10.7%,6m+,53.5%,No
747,Largest Number At Least Twice of Others,https://leetcode.com/problems/largest-number-at-least-twice-of-others/,Easy,,,,No
767,Reorganize String,https://leetcode.com/problems/reorganize-string/,Medium,,,,No
822,Card Flipping Game,https://leetcode.com/problems/card-flipping-game/,Medium,,,,No
905,Sort Array By Parity,https://leetcode.com/problems/sort-array-by-parity/,Easy,,,,No
933,Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls/,Easy,50.0%,6m+,78.1%,No
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,Easy,,,,No
1135,Connecting Cities With Minimum Cost,https://leetcode.com/problems/connecting-cities-with-minimum-cost/,Medium,,,,Yes
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions/,Medium,,,,No
1506,Find Root of N-Ary Tree,https://leetcode.com/problems/find-root-of-n-ary-tree/,Medium,,,,Yes
1929,Concatenation of Array,https://leetcode.com/problems/concatenation-of-array/,Easy,,,,No
2579,Count Total Number of Colored Cells,https://leetcode.com/problems/count-total-number-of-colored-cells/,Medium,,,,No
2942,Find Words Containing Character,https://leetcode.com/problems/find-words-containing-character/,Easy,,,,No
3076,Shortest Uncommon Substring in an Array,https://leetcode.com/problems/shortest-uncommon-substring-in-an-array/,Medium,87.5%,6m+,50.0%,No
3163,String Compression III,https://leetcode.com/problems/string-compression-iii/,Medium,50.0%,6m+,67.0%,No
