ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,6.2%,6m+,57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,4.8%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,37.5%,6m+,38.5%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,4.9%,6m+,30.4%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,2.9%,6m+,43.7%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,2.4%,6m+,58.8%,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,,,,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,8.7%,6m+,76.1%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,7.0%,6m+,66.8%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,37.5%,6m+,53.0%,No
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,,,,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,9.2%,"6m,6m+",50.4%,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,7.1%,6m+,46.9%,No
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,2.9%,6m+,75.2%,No
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,Medium,,,,No
136,Single Number,https://leetcode.com/problems/single-number/,Easy,2.7%,6m+,77.3%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,,,,No
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,5.0%,6m+,63.2%,No
166,Fraction to Recurring Decimal,https://leetcode.com/problems/fraction-to-recurring-decimal/,Medium,,,,No
190,Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy,2.7%,6m+,67.7%,No
197,Rising Temperature,https://leetcode.com/problems/rising-temperature/,Easy,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,3.9%,6m+,52.9%,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,2.6%,6m+,59.2%,No
212,Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,6.4%,6m+,38.1%,No
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,1.2%,6m+,64.1%,No
219,Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/,Easy,3.6%,6m+,50.8%,No
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii/,Hard,4.1%,6m+,24.4%,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,2.9%,6m+,50.0%,No
