ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,2.1%,6m+,38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,62.5%,,59.5%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,,,,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,1.3%,6m+,44.7%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,0.9%,6m+,48.3%,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,1.1%,,56.4%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,,,,No
213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,,,,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,,,,No
283,Move Zeroes,https://leetcode.com/problems/move-zeroes/,Easy,,,,No
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,,,,No
421,Maximum XOR of Two Numbers in an Array,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array/,Medium,,,,No
438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,,,,No
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/,Hard,,,,No
525,Contiguous Array,https://leetcode.com/problems/contiguous-array/,Medium,,,,No
834,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree/,Hard,,,,No
912,Sort an Array,https://leetcode.com/problems/sort-an-array/,Medium,,,,No
1011,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Medium,,,,No
1043,Partition Array for Maximum Sum,https://leetcode.com/problems/partition-array-for-maximum-sum/,Medium,,,,No
1297,Maximum Number of Occurrences of a Substring,https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring/,Medium,,,,No
1310,XOR Queries of a Subarray,https://leetcode.com/problems/xor-queries-of-a-subarray/,Medium,87.5%,6m+,78.2%,No
1530,Number of Good Leaf Nodes Pairs,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs/,Medium,,,,No
1517,Find Users With Valid E-Mails,https://leetcode.com/problems/find-users-with-valid-e-mails/,Easy,,,,No
2497,Maximum Star Sum of a Graph,https://leetcode.com/problems/maximum-star-sum-of-a-graph/,Medium,,,,No
2971,Find Polygon With the Largest Perimeter,https://leetcode.com/problems/find-polygon-with-the-largest-perimeter/,Medium,87.5%,6m+,65.5%,No
3211,Generate Binary Strings Without Adjacent Zeros,https://leetcode.com/problems/generate-binary-strings-without-adjacent-zeros/,Medium,,,,No
