ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,,,,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,,,,No
324,Wiggle Sort II,https://leetcode.com/problems/wiggle-sort-ii/,Medium,,,,No
401,Binary Watch,https://leetcode.com/problems/binary-watch/,Easy,,,,No
460,LFU Cache,https://leetcode.com/problems/lfu-cache/,Hard,,,,No
677,Map Sum Pairs,https://leetcode.com/problems/map-sum-pairs/,Medium,,6m+,57.1%,No
735,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,Medium,,,,No
740,Delete and Earn,https://leetcode.com/problems/delete-and-earn/,Medium,,6m+,57.1%,No
741,Cherry Pickup,https://leetcode.com/problems/cherry-pickup/,Hard,3.1%,6m+,39.1%,No
743,Network Delay Time,https://leetcode.com/problems/network-delay-time/,Medium,75.0%,6m+,59.7%,No
779,K-th Symbol in Grammar,https://leetcode.com/problems/k-th-symbol-in-grammar/,Medium,,,,No
1177,Can Make Palindrome from Substring,https://leetcode.com/problems/can-make-palindrome-from-substring/,Medium,87.5%,6m+,41.3%,No
1425,Constrained Subsequence Sum,https://leetcode.com/problems/constrained-subsequence-sum/,Hard,75.0%,6m+,56.4%,No
1192,Critical Connections in a Network,https://leetcode.com/problems/critical-connections-in-a-network/,Hard,75.0%,6m+,59.3%,No
1223,Dice Roll Simulation,https://leetcode.com/problems/dice-roll-simulation/,Hard,75.0%,6m+,50.7%,No
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/,Hard,,,,No
1319,Number of Operations to Make Network Connected,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,Medium,75.0%,6m+,66.1%,No
1326,Minimum Number of Taps to Open to Water a Garden,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/,Hard,75.0%,6m+,51.0%,No
1338,Reduce Array Size to The Half,https://leetcode.com/problems/reduce-array-size-to-the-half/,Medium,75.0%,6m+,69.3%,No
1370,Increasing Decreasing String,https://leetcode.com/problems/increasing-decreasing-string/,Easy,75.0%,6m+,77.2%,No
1352,Product of the Last K Numbers,https://leetcode.com/problems/product-of-the-last-k-numbers/,Medium,,,,No
1636,Sort Array by Increasing Frequency,https://leetcode.com/problems/sort-array-by-increasing-frequency/,Easy,,,,No
1649,Create Sorted Array through Instructions,https://leetcode.com/problems/create-sorted-array-through-instructions/,Hard,75.0%,6m+,41.3%,No
1665,Minimum Initial Energy to Finish Tasks,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks/,Hard,75.0%,6m+,60.6%,No
1710,Maximum Units on a Truck,https://leetcode.com/problems/maximum-units-on-a-truck/,Easy,,,,No
1801,Number of Orders in the Backlog,https://leetcode.com/problems/number-of-orders-in-the-backlog/,Medium,,,,No
1819,Number of Different Subsequences GCDs,https://leetcode.com/problems/number-of-different-subsequences-gcds/,Hard,75.0%,6m+,44.9%,No
1861,Rotating the Box,https://leetcode.com/problems/rotating-the-box/,Medium,,,,No
2366,Minimum Replacements to Sort the Array,https://leetcode.com/problems/minimum-replacements-to-sort-the-array/,Hard,,,,No
2497,Maximum Star Sum of a Graph,https://leetcode.com/problems/maximum-star-sum-of-a-graph/,Medium,100.0%,6m+,41.9%,No
2824,Count Pairs Whose Sum is Less than Target,https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/,Easy,,,,No
2904,Shortest and Lexicographically Smallest Beautiful String,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string/,Medium,,,,No
3228,Maximum Number of Operations to Move Ones to the End,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end/,Medium,,,,No
