ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,3.4%,6m+,57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,2.7%,6m+,38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,,,,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,2.0%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,3.3%,6m+,38.6%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,1.4%,6m+,66.8%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,1.8%,6m+,81.6%,No
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,,,,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,,,,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,,,,No
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,,,,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,,No
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,1.3%,6m+,56.4%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,4.6%,6m+,52.8%,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,,,,No
142,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii/,Medium,1.4%,6m+,57.2%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,,,,No
154,Find Minimum in Rotated Sorted Array II,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,Hard,,,,No
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,,,,No
180,Consecutive Numbers,https://leetcode.com/problems/consecutive-numbers/,Medium,,,,No
181,Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers/,Easy,,,,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,2.0%,6m+,44.4%,No
197,Rising Temperature,https://leetcode.com/problems/rising-temperature/,Easy,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,,,,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,4.0%,6m+,48.0%,No
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,,,,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,,,,No
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,,,,No
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,,,,No
233,Number of Digit One,https://leetcode.com/problems/number-of-digit-one/,Hard,,,,No
237,Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,Medium,,,,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,3.5%,6m+,67.8%,No
