ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,62.5%,"6m,6m+",48.3%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,87.5%,6m+,51.1%,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
134,Gas Station,https://leetcode.com/problems/gas-station/,Medium,,,,No
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,,,,No
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,,,,No
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,,,,No
286,Walls and Gates,https://leetcode.com/problems/walls-and-gates/,Medium,,,,Yes
289,Game of Life,https://leetcode.com/problems/game-of-life/,Medium,50.0%,6m,72.3%,No
296,Best Meeting Point,https://leetcode.com/problems/best-meeting-point/,Hard,87.5%,6m+,61.4%,Yes
317,Shortest Distance from All Buildings,https://leetcode.com/problems/shortest-distance-from-all-buildings/,Hard,100.0%,"3m,6m,6m+",44.8%,Yes
359,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/,Easy,,,,Yes
432,All O`one Data Structure,https://leetcode.com/problems/all-oone-data-structure/,Hard,,,,No
527,Word Abbreviation,https://leetcode.com/problems/word-abbreviation/,Hard,75.0%,6m+,62.7%,Yes
529,Minesweeper,https://leetcode.com/problems/minesweeper/,Medium,75.0%,6m+,68.7%,No
609,Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system/,Medium,87.5%,"3m,6m,6m+",67.6%,No
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium,,,,No
736,Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression/,Hard,,,,No
427,Construct Quad Tree,https://leetcode.com/problems/construct-quad-tree/,Medium,,,,No
706,Design HashMap,https://leetcode.com/problems/design-hashmap/,Easy,,,,No
641,Design Circular Deque,https://leetcode.com/problems/design-circular-deque/,Medium,,,,No
622,Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,Medium,62.5%,6m+,54.0%,No
1101,The Earliest Moment When Everyone Become Friends,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends/,Medium,,,,Yes
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/,Medium,62.5%,6m+,51.1%,No
1288,Remove Covered Intervals,https://leetcode.com/problems/remove-covered-intervals/,Medium,,,,No
1274,Number of Ships in a Rectangle,https://leetcode.com/problems/number-of-ships-in-a-rectangle/,Hard,,,,Yes
1146,Snapshot Array,https://leetcode.com/problems/snapshot-array/,Medium,,,,No
1610,Maximum Number of Visible Points,https://leetcode.com/problems/maximum-number-of-visible-points/,Hard,,,,No
1914,Cyclically Rotating a Grid,https://leetcode.com/problems/cyclically-rotating-a-grid/,Medium,,,,No
3481,Apply Substitutions,https://leetcode.com/problems/apply-substitutions/,Medium,,,,Yes
