ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,0.7%,"6m,6m+",38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,0.3%,,37.3%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,,,,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,75.0%,6m+,42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,0.9%,6m+,72.2%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,87.5%,6m+,51.1%,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,,,,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,,,,No
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,1.0%,6m+,56.4%,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,,,,No
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
148,Sort List,https://leetcode.com/problems/sort-list/,Medium,,,,No
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,,,,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,,,,No
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,,,,No
301,Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses/,Hard,,,,No
314,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/,Medium,,,,Yes
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,,,,No
460,LFU Cache,https://leetcode.com/problems/lfu-cache/,Hard,,,,No
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/,Medium,,,,No
518,Coin Change II,https://leetcode.com/problems/coin-change-ii/,Medium,,,,No
636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions/,Medium,75.0%,6m+,66.1%,No
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Medium,,,,No
696,Count Binary Substrings,https://leetcode.com/problems/count-binary-substrings/,Easy,,,,No
921,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,Medium,,,,No
992,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers/,Hard,,,,No
1115,Print FooBar Alternately,https://leetcode.com/problems/print-foobar-alternately/,Medium,,,,No
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,,,,No
1366,Rank Teams by Votes,https://leetcode.com/problems/rank-teams-by-votes/,Medium,,,,No
1974,Minimum Time to Type Word Using Special Typewriter,https://leetcode.com/problems/minimum-time-to-type-word-using-special-typewriter/,Easy,,,,No
1963,Minimum Number of Swaps to Make the String Balanced,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced/,Medium,,,,No
2082,The Number of Rich Customers,https://leetcode.com/problems/the-number-of-rich-customers/,Easy,75.0%,6m+,77.4%,Yes
2266,Count Number of Texts,https://leetcode.com/problems/count-number-of-texts/,Medium,,,,No
2530,Maximal Score After Applying K Operations,https://leetcode.com/problems/maximal-score-after-applying-k-operations/,Medium,,,,No
2537,Count the Number of Good Subarrays,https://leetcode.com/problems/count-the-number-of-good-subarrays/,Medium,,,,No
2643,Row With Maximum Ones,https://leetcode.com/problems/row-with-maximum-ones/,Easy,,,,No
2904,Shortest and Lexicographically Smallest Beautiful String,https://leetcode.com/problems/shortest-and-lexicographically-smallest-beautiful-string/,Medium,,,,No
3168,Minimum Number of Chairs in a Waiting Room,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room/,Easy,,,,No
