ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,62.5%,6m+,48.3%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,,,,No
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,Hard,62.5%,6m+,34.8%,No
348,Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe/,Medium,,,,Yes
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/,Easy,75.0%,6m+,44.0%,No
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/,Medium,,,,No
724,Find Pivot Index,https://leetcode.com/problems/find-pivot-index/,Easy,62.5%,6m+,62.1%,No
736,Parse Lisp Expression,https://leetcode.com/problems/parse-lisp-expression/,Hard,87.5%,6m+,53.5%,No
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Medium,100.0%,6m+,60.9%,No
1910,Remove All Occurrences of a Substring,https://leetcode.com/problems/remove-all-occurrences-of-a-substring/,Medium,,,,No
