ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,,,,No
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,Medium,,,,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,0.6%,6m+,42.0%,No
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,62.5%,,56.8%,No
395,Longest Substring with At Least K Repeating Characters,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/,Medium,,6m+,46.0%,No
397,Integer Replacement,https://leetcode.com/problems/integer-replacement/,Medium,,6m+,37.1%,No
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,Hard,1.3%,6m+,59.8%,No
413,Arithmetic Slices,https://leetcode.com/problems/arithmetic-slices/,Medium,,6m+,64.8%,No
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/,Hard,,6m+,54.9%,No
488,Zuma Game,https://leetcode.com/problems/zuma-game/,Hard,,6m+,30.2%,No
576,Out of Boundary Paths,https://leetcode.com/problems/out-of-boundary-paths/,Medium,,6m+,48.4%,No
588,Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/,Hard,,6m+,48.4%,Yes
873,Length of Longest Fibonacci Subsequence,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/,Medium,100.0%,6m+,57.5%,No
1143,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/,Medium,,,,No
1752,Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,Easy,,,,No
