ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,87.5%,6m+,78.2%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium,100.0%,6m+,51.3%,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,,,,No
224,Basic Calculator,https://leetcode.com/problems/basic-calculator/,Hard,,,,No
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,,,,No
987,Vertical Order Traversal of a Binary Tree,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree/,Hard,,,,No
1004,Max Consecutive Ones III,https://leetcode.com/problems/max-consecutive-ones-iii/,Medium,,,,No
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/,Hard,,,,No
