ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,,,,No
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,,,,No
386,Lexicographical Numbers,https://leetcode.com/problems/lexicographical-numbers/,Medium,,,,No
735,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,Medium,,,,No
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,https://leetcode.com/problems/maximum-nesting-depth-of-two-valid-parentheses-strings/,Medium,100.0%,6m+,71.8%,No
1396,Design Underground System,https://leetcode.com/problems/design-underground-system/,Medium,,,,No
1722,Minimize Hamming Distance After Swap Operations,https://leetcode.com/problems/minimize-hamming-distance-after-swap-operations/,Medium,,,,No
