ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,100.0%,6m+,57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,,,,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,1.4%,6m+,38.6%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,2.6%,,65.3%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,100.0%,6m+,64.1%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,,,,No
99,Recover Binary Search Tree,https://leetcode.com/problems/recover-binary-search-tree/,Medium,,,,No
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,,,,No
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,,,,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,1.5%,6m+,52.8%,No
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,,,,No
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,3.9%,6m+,62.4%,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,,,,No
214,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/,Hard,,,,No
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,,,,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,,,,No
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,,No
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,,,,No
365,Water and Jug Problem,https://leetcode.com/problems/water-and-jug-problem/,Medium,,,,No
463,Island Perimeter,https://leetcode.com/problems/island-perimeter/,Easy,100.0%,6m+,74.2%,No
703,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,Easy,,,,No
841,Keys and Rooms,https://leetcode.com/problems/keys-and-rooms/,Medium,,,,No
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,Easy,,,,No
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,,,,No
1691,Maximum Height by Stacking Cuboids ,https://leetcode.com/problems/maximum-height-by-stacking-cuboids/,Hard,,,,No
