ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,62.5%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,2.1%,6m+,38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,2.9%,6m+,60.2%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,1.3%,"6m,6m+",59.5%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,,,,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,37.5%,,65.5%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,50.0%,6m+,43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,,,,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,,,,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,4.4%,6m+,79.3%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,5.1%,6m+,56.1%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,2.1%,6m+,51.1%,No
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,Medium,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,8.5%,"30d,3m,6m,6m+",50.4%,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,5.3%,"6m,6m+",50.0%,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
