ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,7.2%,6m+,57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,7.0%,"6m,6m+",47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,6.8%,"6m,6m+",38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,9.1%,6m+,37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,,,,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,,,,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,,,,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,37.5%,6m+,38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,50.0%,6m+,65.5%,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,7.1%,"6m,6m+",43.7%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,5.8%,6m+,58.8%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,5.7%,6m+,65.3%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,4.8%,6m+,62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,5.1%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,,,,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,50.0%,6m+,66.8%,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,37.5%,6m+,81.6%,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,10.2%,6m+,79.3%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,5.3%,6m+,72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,37.5%,6m+,38.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,8.3%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,8.3%,6m+,56.1%,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,37.5%,6m+,40.5%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,8.1%,6m+,51.1%,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,,,,No
59,Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,Medium,,,,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
65,Valid Number,https://leetcode.com/problems/valid-number/,Hard,,,,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,,,,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,,,,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,5.9%,"6m,6m+",60.1%,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,,,,No
