ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,2.2%,6m+,46.8%,No
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,,,,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,,,,No
237,Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,Medium,,,,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,,,,No
349,Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays/,Easy,,,,No
724,Find Pivot Index,https://leetcode.com/problems/find-pivot-index/,Easy,,,,No
706,Design HashMap,https://leetcode.com/problems/design-hashmap/,Easy,75.0%,6m+,66.4%,No
905,Sort Array By Parity,https://leetcode.com/problems/sort-array-by-parity/,Easy,62.5%,6m+,76.5%,No
922,Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii/,Easy,62.5%,6m+,71.2%,No
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Medium,75.0%,6m+,60.9%,No
2700,Differences Between Two Objects,https://leetcode.com/problems/differences-between-two-objects/,Medium,100.0%,6m+,74.6%,Yes
2865,Beautiful Towers I,https://leetcode.com/problems/beautiful-towers-i/,Medium,,,,No
