ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,2.2%,6m+,47.1%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,75.0%,6m+,43.7%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,2.8%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,,,,No
43,Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,2.4%,6m+,72.2%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,3.0%,6m+,51.1%,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,,,,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,2.3%,6m+,53.9%,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,,,,No
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,,,,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,,,,No
133,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,5.0%,6m+,46.8%,No
212,Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,,,,No
213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,,,,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,,,,No
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,,,,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,,,,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,,,,Yes
259,3Sum Smaller,https://leetcode.com/problems/3sum-smaller/,Medium,,,,Yes
344,Reverse String,https://leetcode.com/problems/reverse-string/,Easy,,,,No
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,3.9%,"6m,6m+",65.8%,No
383,Ransom Note,https://leetcode.com/problems/ransom-note/,Easy,4.8%,6m+,65.6%,No
386,Lexicographical Numbers,https://leetcode.com/problems/lexicographical-numbers/,Medium,,,,No
419,Battleships in a Board,https://leetcode.com/problems/battleships-in-a-board/,Medium,,,,No
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,Medium,,,,No
585,Investments in 2016,https://leetcode.com/problems/investments-in-2016/,Medium,,,,No
695,Max Area of Island,https://leetcode.com/problems/max-area-of-island/,Medium,,,,No
737,Sentence Similarity II,https://leetcode.com/problems/sentence-similarity-ii/,Medium,,,,Yes
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,,,,No
819,Most Common Word,https://leetcode.com/problems/most-common-word/,Easy,,,,No
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,Easy,,,,No
947,Most Stones Removed with Same Row or Column,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/,Medium,,,,No
1018,Binary Prefix Divisible By 5,https://leetcode.com/problems/binary-prefix-divisible-by-5/,Easy,,,,No
1148,Article Views I,https://leetcode.com/problems/article-views-i/,Easy,,,,No
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Medium,75.0%,6m+,60.9%,No
2225,Find Players With Zero or One Losses,https://leetcode.com/problems/find-players-with-zero-or-one-losses/,Medium,,,,No
1290,Convert Binary Number in a Linked List to Integer,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer/,Easy,,,,No
1593,Split a String Into the Max Number of Unique Substrings,https://leetcode.com/problems/split-a-string-into-the-max-number-of-unique-substrings/,Medium,,,,No
1884,Egg Drop With 2 Eggs and N Floors,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors/,Medium,75.0%,6m+,74.6%,No
2621,Sleep,https://leetcode.com/problems/sleep/,Easy,,,,No
2715,Timeout Cancellation,https://leetcode.com/problems/timeout-cancellation/,Easy,,,,No
2966,Divide Array Into Arrays With Max Difference,https://leetcode.com/problems/divide-array-into-arrays-with-max-difference/,Medium,,,,No
