ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,3.6%,"3m,6m,6m+",38.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,3.8%,6m+,70.4%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,,,,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,62.5%,,67.9%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,75.0%,6m+,58.8%,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,,,,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,2.6%,,,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,5.4%,,72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,4.0%,6m+,51.1%,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,,,,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,,,,No
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,,,,No
