ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,100.0%,6m+,42.5%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,,,,Yes
261,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,,,,Yes
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,,,,No
394,Decode String,https://leetcode.com/problems/decode-string/,Medium,,,,No
1332,Remove Palindromic Subsequences,https://leetcode.com/problems/remove-palindromic-subsequences/,Easy,,,,No
1648,Sell Diminishing-Valued Colored Balls,https://leetcode.com/problems/sell-diminishing-valued-colored-balls/,Medium,100.0%,6m+,30.1%,No
