ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,62.5%,6m,52.9%,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,,,,No
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,Hard,11.1%,"6m,6m+",34.8%,No
584,Find Customer Referee,https://leetcode.com/problems/find-customer-referee/,Easy,,,,No
616,Add Bold Tag in String,https://leetcode.com/problems/add-bold-tag-in-string/,Medium,13.8%,"6m,6m+",51.4%,Yes
635,Design Log Storage System,https://leetcode.com/problems/design-log-storage-system/,Medium,,,,Yes
732,My Calendar III,https://leetcode.com/problems/my-calendar-iii/,Hard,,,,No
981,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/,Medium,100.0%,6m+,49.7%,No
2305,Fair Distribution of Cookies,https://leetcode.com/problems/fair-distribution-of-cookies/,Medium,,,,No
1344,Angle Between Hands of a Clock,https://leetcode.com/problems/angle-between-hands-of-a-clock/,Medium,,,,No
1752,Check if Array Is Sorted and Rotated,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,Easy,,,,No
2591,Distribute Money to Maximum Children,https://leetcode.com/problems/distribute-money-to-maximum-children/,Easy,100.0%,"3m,6m",20.4%,No
