ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
87,Scramble String,https://leetcode.com/problems/scramble-string/,Hard,,,,No
135,Candy,https://leetcode.com/problems/candy/,Hard,,,,No
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,,No
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/,Medium,,,,No
452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Medium,,,,No
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/,Medium,,,,No
546,Remove Boxes,https://leetcode.com/problems/remove-boxes/,Hard,,,,No
735,Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,Medium,,,,No
1022,Sum of Root To Leaf Binary Numbers,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,Easy,,,,No
1106,Parsing A Boolean Expression,https://leetcode.com/problems/parsing-a-boolean-expression/,Hard,100.0%,6m+,69.8%,No
1518,Water Bottles,https://leetcode.com/problems/water-bottles/,Easy,100.0%,6m+,72.6%,No
2400,Number of Ways to Reach a Position After Exactly k Steps,https://leetcode.com/problems/number-of-ways-to-reach-a-position-after-exactly-k-steps/,Medium,,,,No
2401,Longest Nice Subarray,https://leetcode.com/problems/longest-nice-subarray/,Medium,,,,No
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/,Hard,,,,No
3003,Maximize the Number of Partitions After Operations,https://leetcode.com/problems/maximize-the-number-of-partitions-after-operations/,Hard,100.0%,6m+,53.6%,No
3307,Find the K-th Character in String Game II,https://leetcode.com/problems/find-the-k-th-character-in-string-game-ii/,Hard,,,,No
3584,Maximum Product of First and Last Elements of a Subsequence,https://leetcode.com/problems/maximum-product-of-first-and-last-elements-of-a-subsequence/,Medium,,,,No
