ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,4.6%,6m,66.8%,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,,,,No
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,4.1%,"6m,6m+",63.8%,No
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,,,,No
252,Meeting Rooms,https://leetcode.com/problems/meeting-rooms/,Easy,,,,Yes
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,,,,Yes
261,Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,Medium,,,,Yes
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,,No
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,4.9%,,60.3%,No
609,Find Duplicate File in System,https://leetcode.com/problems/find-duplicate-file-in-system/,Medium,,,,No
647,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,Medium,,,,No
684,Redundant Connection,https://leetcode.com/problems/redundant-connection/,Medium,,,,No
428,Serialize and Deserialize N-ary Tree,https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree/,Hard,,,,Yes
765,Couples Holding Hands,https://leetcode.com/problems/couples-holding-hands/,Hard,,,,No
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/,Medium,,,,No
912,Sort an Array,https://leetcode.com/problems/sort-an-array/,Medium,100.0%,6m+,55.9%,No
1162,As Far from Land as Possible,https://leetcode.com/problems/as-far-from-land-as-possible/,Medium,100.0%,"3m,6m",52.2%,No
3487,Maximum Unique Subarray Sum After Deletion,https://leetcode.com/problems/maximum-unique-subarray-sum-after-deletion/,Easy,,,,No
