ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,87.5%,6m+,57.1%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,,,,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,,,,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,,,,No
452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Medium,,,,No
581,Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,Medium,,,,No
1260,Shift 2D Grid,https://leetcode.com/problems/shift-2d-grid/,Easy,,,,No
1848,Minimum Distance to the Target Element,https://leetcode.com/problems/minimum-distance-to-the-target-element/,Easy,87.5%,6m+,54.2%,No
1975,Maximum Matrix Sum,https://leetcode.com/problems/maximum-matrix-sum/,Medium,,6m+,67.6%,No
2635,Apply Transform Over Each Element in Array,https://leetcode.com/problems/apply-transform-over-each-element-in-array/,Easy,,,,No
2747,Count Zero Request Servers,https://leetcode.com/problems/count-zero-request-servers/,Medium,100.0%,6m+,35.6%,No
