ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,5.2%,"3m,6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,3.6%,6m,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,4.2%,"3m,6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,50.0%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,4.3%,"30d,3m,6m,6m+",37.3%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,37.5%,6m+,31.5%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,50.0%,"6m,6m+",60.2%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,50.0%,6m+,59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,6.6%,"3m,6m,6m+",70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,5.6%,"3m,6m,6m+",66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,4.2%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,3.4%,"6m,6m+",38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,3.9%,6m+,65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,5.3%,"3m,6m,6m+",43.7%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,3.3%,6m,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,37.5%,,58.8%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,37.5%,,62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,,,,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,37.5%,6m+,46.2%,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,37.5%,6m+,44.7%,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,1.7%,"30d,3m,6m",38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,1.5%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,,,,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,0.6%,6m+,50.7%,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,2.9%,"3m,6m",66.8%,No
