ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,5.1%,"30d,3m,6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,50.0%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,5.0%,"30d,3m,6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,37.5%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,5.1%,"3m,6m,6m+",37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,3.0%,,53.5%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,4.2%,6m+,31.5%,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,37.5%,6m+,20.6%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,4.5%,"6m,6m+",60.2%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,1.5%,6m,30.4%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,3.2%,6m+,59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,37.5%,,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,2.5%,,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,4.0%,"3m,6m,6m+",47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,3.6%,"3m,6m,6m+",38.6%,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,,,,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,62.5%,"6m,6m+",40.0%,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,4.9%,"3m,6m,6m+",43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,62.5%,6m+,67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,3.8%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,2.6%,6m+,65.3%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,2.7%,6m+,62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,,,,No
