ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,3.8%,"3m,6m,6m+",57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,3.0%,,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,,,,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,50.0%,6m+,53.5%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,50.0%,6m+,38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,5.0%,"6m,6m+",43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,50.0%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,50.0%,6m+,44.7%,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,1.8%,6m+,38.0%,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,6.3%,6m+,65.4%,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,3.0%,6m+,72.2%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,4.8%,6m+,56.1%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,3.8%,6m+,51.1%,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,,,,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,,,,No
