ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,75.0%,6m+,57.1%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,,,,No
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,4.8%,"6m,6m+",46.8%,No
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,,,,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,75.0%,6m+,67.8%,No
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,2.8%,6m+,54.2%,No
334,Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence/,Medium,,,,No
344,Reverse String,https://leetcode.com/problems/reverse-string/,Easy,,,,No
460,LFU Cache,https://leetcode.com/problems/lfu-cache/,Hard,3.8%,6m+,48.6%,No
554,Brick Wall,https://leetcode.com/problems/brick-wall/,Medium,6.8%,6m,56.0%,No
670,Maximum Swap,https://leetcode.com/problems/maximum-swap/,Medium,,,,No
700,Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,Easy,,,,No
780,Reaching Points,https://leetcode.com/problems/reaching-points/,Hard,75.0%,6m+,34.2%,No
836,Rectangle Overlap,https://leetcode.com/problems/rectangle-overlap/,Easy,,,,No
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/,Medium,,,,No
1293,Shortest Path in a Grid with Obstacles Elimination,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/,Hard,,,,No
1884,Egg Drop With 2 Eggs and N Floors,https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors/,Medium,,,,No
1922,Count Good Numbers,https://leetcode.com/problems/count-good-numbers/,Medium,,,,No
2106,Maximum Fruits Harvested After at Most K Steps,https://leetcode.com/problems/maximum-fruits-harvested-after-at-most-k-steps/,Hard,87.5%,"6m,6m+",61.0%,No
3584,Maximum Product of First and Last Elements of a Subsequence,https://leetcode.com/problems/maximum-product-of-first-and-last-elements-of-a-subsequence/,Medium,100.0%,6m+,31.2%,No
