ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,3.4%,,51.1%,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,5.5%,6m,50.4%,No
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,,,,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,5.5%,6m+,52.5%,Yes
297,Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,Hard,,,,No
689,Maximum Sum of 3 Non-Overlapping Subarrays,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays/,Hard,,,,No
694,Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands/,Medium,,,,Yes
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,,,,No
785,Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite/,Medium,100.0%,6m+,58.9%,No
1022,Sum of Root To Leaf Binary Numbers,https://leetcode.com/problems/sum-of-root-to-leaf-binary-numbers/,Easy,87.5%,6m+,73.7%,No
1272,Remove Interval,https://leetcode.com/problems/remove-interval/,Medium,,,,Yes
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions/,Medium,,,,No
1762,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view/,Medium,,,,Yes
1909,Remove One Element to Make the Array Strictly Increasing,https://leetcode.com/problems/remove-one-element-to-make-the-array-strictly-increasing/,Easy,,,,No
1934,Confirmation Rate,https://leetcode.com/problems/confirmation-rate/,Medium,,,,No
1951,All the Pairs With the Maximum Number of Common Followers,https://leetcode.com/problems/all-the-pairs-with-the-maximum-number-of-common-followers/,Medium,100.0%,6m+,69.5%,Yes
2228,Users With Two Purchases Within Seven Days,https://leetcode.com/problems/users-with-two-purchases-within-seven-days/,Medium,,,,Yes
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/,Hard,,,,No
2458,Height of Binary Tree After Subtree Removal Queries,https://leetcode.com/problems/height-of-binary-tree-after-subtree-removal-queries/,Hard,,,,No
2545,Sort the Students by Their Kth Score,https://leetcode.com/problems/sort-the-students-by-their-kth-score/,Medium,87.5%,6m+,86.0%,No
