ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,6.0%,6m+,57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,2.4%,6m+,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,25.0%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,4.6%,6m+,37.3%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,1.9%,6m+,31.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,6.6%,6m+,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,5.6%,6m+,66.2%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,6.1%,"30d,3m,6m,6m+",65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,25.0%,,40.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,8.0%,"3m,6m,6m+",43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,3.9%,6m+,67.9%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,5.0%,6m+,58.8%,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,25.0%,6m+,46.2%,No
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard,,,,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,37.5%,6m+,38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,7.7%,"6m,6m+",44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,7.3%,"3m,6m,6m+",48.3%,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,,,,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,25.0%,6m+,64.1%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,4.5%,6m+,76.1%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,4.3%,6m+,59.0%,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,,,,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,6.9%,"6m,6m+",81.6%,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,5.7%,6m+,62.9%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,,,,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,8.1%,"6m,6m+",38.2%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,9.0%,"30d,3m,6m,6m+",53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,7.3%,"6m,6m+",51.1%,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,6.2%,"6m,6m+",44.7%,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,5.9%,"3m,6m,6m+",41.2%,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,37.5%,6m+,66.5%,No
65,Valid Number,https://leetcode.com/problems/valid-number/,Hard,9.5%,6m+,22.6%,No
67,Add Binary,https://leetcode.com/problems/add-binary/,Easy,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,9.2%,6m+,50.4%,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,6.6%,6m+,41.4%,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,7.6%,"6m,6m+",60.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,7.6%,"3m,6m,6m+",46.9%,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,25.0%,6m+,46.8%,No
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,,,,No
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,5.3%,,,No
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium,,,,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,0.7%,"3m,6m",49.3%,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,4.8%,6m+,54.4%,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,,,,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,,,,No
96,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,Medium,,,,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,25.0%,,35.3%,No
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,5.3%,6m+,66.6%,No
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,6.8%,"6m,6m+",60.7%,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,7.6%,6m+,72.2%,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,5.7%,6m+,63.1%,No
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,7.1%,"3m,6m,6m+",77.9%,No
112,Path Sum,https://leetcode.com/problems/path-sum/,Easy,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,2.6%,6m+,56.4%,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,,,,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,,,,No
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,6.2%,6m+,27.5%,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,8.5%,"3m,6m,6m+",44.9%,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,2.6%,,47.0%,No
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,,,,No
135,Candy,https://leetcode.com/problems/candy/,Hard,,,,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,3.9%,6m+,49.1%,No
140,Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,,,,No
