ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,,,,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,,,,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,3.8%,6m+,58.8%,No
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,2.2%,6m+,44.1%,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,,,,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,,,,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,3.5%,6m+,44.7%,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,5.0%,6m+,50.4%,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,,,,No
133,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,1.4%,,,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,4.4%,"6m,6m+",49.1%,No
140,Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,62.5%,,55.1%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,4.4%,6m,46.8%,No
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,,,,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,,,,No
