ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,2.2%,6m+,38.5%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,,,,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,87.5%,6m+,62.2%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,,,,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,62.5%,,69.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,,,,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,,,,No
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,,,,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,,,,No
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,,No
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,,,,No
225,Implement Stack using Queues,https://leetcode.com/problems/implement-stack-using-queues/,Easy,1.1%,,69.3%,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,87.5%,6m+,67.8%,No
287,Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,Medium,,,,No
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,,,,No
312,Burst Balloons,https://leetcode.com/problems/burst-balloons/,Hard,,,,No
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/,Medium,,,,No
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits/,Medium,,,,No
442,Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array/,Medium,,,,No
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,Medium,,,,No
567,Permutation in String,https://leetcode.com/problems/permutation-in-string/,Medium,,,,No
658,Find K Closest Elements,https://leetcode.com/problems/find-k-closest-elements/,Medium,,,,No
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,,,,No
1011,Capacity To Ship Packages Within D Days,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/,Medium,,,,No
1021,Remove Outermost Parentheses,https://leetcode.com/problems/remove-outermost-parentheses/,Easy,,,,No
1070,Product Sales Analysis III,https://leetcode.com/problems/product-sales-analysis-iii/,Medium,,,,No
1581,Customer Who Visited but Did Not Make Any Transactions,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/,Easy,,,,No
10003,Design Consistent Hashing Algorithm,https://leetcode.com/problems/design-consistent-hashing-algorithm/,Medium,,,,No
1729,Find Followers Count,https://leetcode.com/problems/find-followers-count/,Easy,,,,No
2220,Minimum Bit Flips to Convert Number,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,Easy,,,,No
2320,Count Number of Ways to Place Houses,https://leetcode.com/problems/count-number-of-ways-to-place-houses/,Medium,87.5%,6m+,43.8%,No
2411,Smallest Subarrays With Maximum Bitwise OR,https://leetcode.com/problems/smallest-subarrays-with-maximum-bitwise-or/,Medium,,,,No
2434,Using a Robot to Print the Lexicographically Smallest String,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string/,Medium,,,,No
2461,Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,Medium,,,,No
2536,Increment Submatrices by One,https://leetcode.com/problems/increment-submatrices-by-one/,Medium,,,,No
2843,  Count Symmetric Integers,https://leetcode.com/problems/count-symmetric-integers/,Easy,,,,No
3199,Count Triplets with Even XOR Set Bits I,https://leetcode.com/problems/count-triplets-with-even-xor-set-bits-i/,Easy,,,,Yes
3852,Smallest Pair With Different Frequencies,https://leetcode.com/problems/smallest-pair-with-different-frequencies/,Easy,,,,No
