ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,1.5%,6m+,57.1%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,,,,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,,,,No
343,Integer Break,https://leetcode.com/problems/integer-break/,Medium,,,,No
415,Add Strings,https://leetcode.com/problems/add-strings/,Easy,,,,No
605,Can Place Flowers,https://leetcode.com/problems/can-place-flowers/,Easy,,,,No
2381,Shifting Letters II,https://leetcode.com/problems/shifting-letters-ii/,Medium,,,,No
2497,Maximum Star Sum of a Graph,https://leetcode.com/problems/maximum-star-sum-of-a-graph/,Medium,,,,No
2598,Smallest Missing Non-negative Integer After Operations,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations/,Medium,,,,No
