ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,,,,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,1.7%,6m+,45.9%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,1.4%,,59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,,,,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,,,,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,4.7%,"3m,6m",72.2%,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,3.4%,"6m,6m+",51.1%,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,,,,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,,,,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,,,,No
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,3.5%,6m,27.5%,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,4.8%,6m,44.9%,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,3.6%,6m+,47.0%,No
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,6.1%,"6m,6m+",46.8%,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,,,,No
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,62.5%,,63.8%,No
224,Basic Calculator,https://leetcode.com/problems/basic-calculator/,Hard,,,,No
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,,,,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,,,,No
294,Flip Game II,https://leetcode.com/problems/flip-game-ii/,Medium,,,,Yes
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,4.6%,6m+,54.2%,No
304,Range Sum Query 2D - Immutable,https://leetcode.com/problems/range-sum-query-2d-immutable/,Medium,4.1%,,57.8%,No
332,Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/,Hard,,,,No
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,,,,No
348,Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe/,Medium,,,,Yes
357,Count Numbers with Unique Digits,https://leetcode.com/problems/count-numbers-with-unique-digits/,Medium,,,,No
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/,Medium,6.3%,6m+,55.3%,No
381,Insert Delete GetRandom O(1) - Duplicates allowed,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed/,Hard,,,,No
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,Easy,,,,No
393,UTF-8 Validation,https://leetcode.com/problems/utf-8-validation/,Medium,,,,No
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,Hard,,,,No
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,,,,No
468,Validate IP Address,https://leetcode.com/problems/validate-ip-address/,Medium,,,,No
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/,Medium,,,,No
621,Task Scheduler,https://leetcode.com/problems/task-scheduler/,Medium,75.0%,6m+,62.6%,No
649,Dota2 Senate,https://leetcode.com/problems/dota2-senate/,Medium,,,,No
690,Employee Importance,https://leetcode.com/problems/employee-importance/,Medium,,,,No
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,2.3%,6m+,68.3%,No
741,Cherry Pickup,https://leetcode.com/problems/cherry-pickup/,Hard,,,,No
863,All Nodes Distance K in Binary Tree,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/,Medium,100.0%,6m+,67.4%,No
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,75.0%,6m+,49.7%,No
898,Bitwise ORs of Subarrays,https://leetcode.com/problems/bitwise-ors-of-subarrays/,Medium,,,,No
904,Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/,Medium,,,,No
920,Number of Music Playlists,https://leetcode.com/problems/number-of-music-playlists/,Hard,,,,No
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,Easy,,,,No
1136,Parallel Courses,https://leetcode.com/problems/parallel-courses/,Medium,,,,Yes
1047,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,Easy,,,,No
1190,Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/,Medium,62.5%,,71.9%,No
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Medium,,,,No
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/,Medium,,,,No
1487,Making File Names Unique,https://leetcode.com/problems/making-file-names-unique/,Medium,62.5%,,38.4%,No
1554,Strings Differ by One Character,https://leetcode.com/problems/strings-differ-by-one-character/,Medium,75.0%,6m+,40.1%,Yes
2043,Simple Bank System,https://leetcode.com/problems/simple-bank-system/,Medium,87.5%,6m,69.8%,No
2375,Construct Smallest Number From DI String,https://leetcode.com/problems/construct-smallest-number-from-di-string/,Medium,,,,No
2468,Split Message Based on Limit,https://leetcode.com/problems/split-message-based-on-limit/,Hard,,,,No
2817,Minimum Absolute Difference Between Elements With Constraint,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint/,Medium,,,,No
3043,Find the Length of the Longest Common Prefix,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix/,Medium,,,,No
3161,Block Placement Queries,https://leetcode.com/problems/block-placement-queries/,Hard,,,,No
3552,Grid Teleportation Traversal,https://leetcode.com/problems/grid-teleportation-traversal/,Medium,,,,No
