ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,,,,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,,,,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,100.0%,6m+,56.4%,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,2.2%,,70.7%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,4.6%,"6m,6m+",46.8%,No
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,,,,No
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,,,,No
213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,,,,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,,,,No
229,Majority Element II,https://leetcode.com/problems/majority-element-ii/,Medium,,,,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,,,,Yes
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/,Medium,,,,Yes
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,Medium,,,,No
414,Third Maximum Number,https://leetcode.com/problems/third-maximum-number/,Easy,,,,No
518,Coin Change II,https://leetcode.com/problems/coin-change-ii/,Medium,,,,No
584,Find Customer Referee,https://leetcode.com/problems/find-customer-referee/,Easy,,,,No
636,Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions/,Medium,,,,No
688,Knight Probability in Chessboard,https://leetcode.com/problems/knight-probability-in-chessboard/,Medium,,,,No
713,Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k/,Medium,,,,No
714,Best Time to Buy and Sell Stock with Transaction Fee,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee/,Medium,,,,No
622,Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,Medium,100.0%,"30d,3m,6m",54.0%,No
856,Score of Parentheses,https://leetcode.com/problems/score-of-parentheses/,Medium,,,,No
959,Regions Cut By Slashes,https://leetcode.com/problems/regions-cut-by-slashes/,Medium,,,,No
981,Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/,Medium,,,,No
1051,Height Checker,https://leetcode.com/problems/height-checker/,Easy,,,,No
1360,Number of Days Between Two Dates,https://leetcode.com/problems/number-of-days-between-two-dates/,Easy,62.5%,"6m,6m+",52.3%,No
1200,Minimum Absolute Difference,https://leetcode.com/problems/minimum-absolute-difference/,Easy,,,,No
1206,Design Skiplist,https://leetcode.com/problems/design-skiplist/,Hard,,,,No
1233,Remove Sub-Folders from the Filesystem,https://leetcode.com/problems/remove-sub-folders-from-the-filesystem/,Medium,,,,No
1376,Time Needed to Inform All Employees,https://leetcode.com/problems/time-needed-to-inform-all-employees/,Medium,,,,No
1462,Course Schedule IV,https://leetcode.com/problems/course-schedule-iv/,Medium,,,,No
1539,Kth Missing Positive Number,https://leetcode.com/problems/kth-missing-positive-number/,Easy,,,,No
1614,Maximum Nesting Depth of the Parentheses,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses/,Easy,,,,No
1801,Number of Orders in the Backlog,https://leetcode.com/problems/number-of-orders-in-the-backlog/,Medium,,,,No
1825,Finding MK Average,https://leetcode.com/problems/finding-mk-average/,Hard,,,,No
2050,Parallel Courses III,https://leetcode.com/problems/parallel-courses-iii/,Hard,,,,No
2104,Sum of Subarray Ranges,https://leetcode.com/problems/sum-of-subarray-ranges/,Medium,,,,No
2235,Add Two Integers,https://leetcode.com/problems/add-two-integers/,Easy,,,,No
2498,Frog Jump II,https://leetcode.com/problems/frog-jump-ii/,Medium,,,,No
3822,Design Order Management System,https://leetcode.com/problems/design-order-management-system/,Medium,87.5%,,82.1%,Yes
