ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,6.2%,"30d,3m,6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,5.1%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,5.6%,"3m,6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,4.2%,"3m,6m,6m+",45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,6.1%,"6m,6m+",37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,3.6%,6m+,53.5%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,3.5%,6m+,31.5%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,2.2%,6m+,60.2%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,37.5%,6m+,30.4%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,4.3%,"30d,3m,6m,6m+",59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,4.6%,6m+,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,4.9%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,3.8%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,4.8%,"6m,6m+",38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,5.5%,6m+,65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,4.0%,6m+,51.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,6.1%,"3m,6m,6m+",43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,4.8%,"6m,6m+",67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,5.0%,6m+,78.2%,No
