ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,50.0%,6m+,57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,50.0%,,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,3.6%,6m+,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,3.3%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,3.2%,,,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,,,,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,3.8%,6m+,70.4%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,3.5%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,50.0%,6m+,43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,2.2%,6m+,67.9%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,3.3%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,,,,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,,,,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
43,Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,87.5%,6m,43.5%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,4.0%,,72.2%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,3.8%,6m+,67.8%,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,,,,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,,,,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,3.1%,,,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,2.7%,,51.0%,No
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,5.4%,6m+,55.3%,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,,,,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,4.3%,6m+,72.2%,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,,,,No
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,,,,No
112,Path Sum,https://leetcode.com/problems/path-sum/,Easy,50.0%,6m+,54.4%,No
113,Path Sum II,https://leetcode.com/problems/path-sum-ii/,Medium,50.0%,6m+,61.7%,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
