ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,4.8%,6m+,57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,4.2%,"6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,37.5%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,8.3%,"6m,6m+",53.5%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,62.5%,6m,59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,2.9%,6m+,38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,,,,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,4.5%,6m+,43.7%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,1.5%,6m+,68.9%,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,3.6%,"6m,6m+",44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,2.6%,6m+,48.3%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,2.8%,6m+,64.1%,No
38,Count and Say,https://leetcode.com/problems/count-and-say/,Medium,,,,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,37.5%,6m+,42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,3.4%,,66.8%,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,50.0%,6m+,79.3%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,4.7%,6m+,72.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,3.5%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,4.3%,6m+,56.1%,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,3.0%,6m+,40.5%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,5.2%,"6m,6m+",51.1%,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,37.5%,,44.7%,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,37.5%,6m+,50.4%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,1.5%,6m+,53.9%,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,,,,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,37.5%,6m+,62.4%,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,2.7%,6m+,69.1%,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,2.2%,6m+,82.0%,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,3.5%,6m+,46.8%,No
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,,,,No
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,,,,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,3.1%,6m+,54.4%,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,,,,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,,,,No
112,Path Sum,https://leetcode.com/problems/path-sum/,Easy,,,,No
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,4.3%,6m+,56.4%,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,37.5%,,53.1%,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,37.5%,6m+,42.0%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,,,,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,,,,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,2.4%,6m+,47.0%,No
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,,,,No
134,Gas Station,https://leetcode.com/problems/gas-station/,Medium,,,,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,,,,No
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,,,,No
143,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,6.6%,"6m,6m+",46.8%,No
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,2.5%,6m+,36.0%,No
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,,,,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,50.0%,6m+,46.8%,No
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,Medium,,,,No
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,,,,No
168,Excel Sheet Column Title,https://leetcode.com/problems/excel-sheet-column-title/,Easy,,,,No
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,,,,No
171,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,Easy,,,,No
182,Duplicate Emails,https://leetcode.com/problems/duplicate-emails/,Easy,,,,No
185,Department Top Three Salaries,https://leetcode.com/problems/department-top-three-salaries/,Hard,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,2.5%,6m+,52.9%,No
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,4.4%,6m+,63.8%,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,37.5%,6m+,59.2%,No
204,Count Primes,https://leetcode.com/problems/count-primes/,Medium,,,,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,,,,No
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,37.5%,6m+,50.8%,No
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,,,,No
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,,,,No
212,Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,3.1%,6m+,38.1%,No
213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,,,,No
