ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,75.0%,6m+,57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,,,,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,1.1%,6m+,38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,1.3%,6m+,37.3%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,87.5%,6m+,60.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,100.0%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,62.5%,,38.6%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,87.5%,6m+,43.7%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,2.4%,6m+,72.2%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,75.0%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,,,,No
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,75.0%,6m+,54.4%,No
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,,,,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,,,,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,75.0%,6m+,67.8%,No
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,,No
316,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters/,Medium,,,,No
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/,Medium,,,,No
721,Accounts Merge,https://leetcode.com/problems/accounts-merge/,Medium,,,,No
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,Easy,,,,No
2220,Minimum Bit Flips to Convert Number,https://leetcode.com/problems/minimum-bit-flips-to-convert-number/,Easy,75.0%,6m+,87.8%,No
2333,Minimum Sum of Squared Difference,https://leetcode.com/problems/minimum-sum-of-squared-difference/,Medium,,,,No
2364,Count Number of Bad Pairs,https://leetcode.com/problems/count-number-of-bad-pairs/,Medium,,,,No
2461,Maximum Sum of Distinct Subarrays With Length K,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k/,Medium,,,,No
