ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,,,,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,87.5%,6m+,38.5%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,,,,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,87.5%,6m+,47.1%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,4.6%,6m+,66.8%,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,75.0%,,72.2%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,,,,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,,No
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,,,,No
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,,,,No
184,Department Highest Salary,https://leetcode.com/problems/department-highest-salary/,Medium,,,,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,,,,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,,,,No
268,Missing Number,https://leetcode.com/problems/missing-number/,Easy,,,,No
283,Move Zeroes,https://leetcode.com/problems/move-zeroes/,Easy,,,,No
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,,,,No
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,2.2%,,,No
697,Degree of an Array,https://leetcode.com/problems/degree-of-an-array/,Easy,,,,No
777,Swap Adjacent in LR String,https://leetcode.com/problems/swap-adjacent-in-lr-string/,Medium,,,,No
796,Rotate String,https://leetcode.com/problems/rotate-string/,Easy,,,,No
829,Consecutive Numbers Sum,https://leetcode.com/problems/consecutive-numbers-sum/,Hard,,,,No
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,,,,No
917,Reverse Only Letters,https://leetcode.com/problems/reverse-only-letters/,Easy,,,,No
921,Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,Medium,,,,No
935,Knight Dialer,https://leetcode.com/problems/knight-dialer/,Medium,,,,No
1068,Product Sales Analysis I,https://leetcode.com/problems/product-sales-analysis-i/,Easy,,,,No
1405,Longest Happy String,https://leetcode.com/problems/longest-happy-string/,Medium,,,,No
1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts/,Medium,,,,No
1824,Minimum Sideway Jumps,https://leetcode.com/problems/minimum-sideway-jumps/,Medium,100.0%,6m,51.5%,No
1863,Sum of All Subset XOR Totals,https://leetcode.com/problems/sum-of-all-subset-xor-totals/,Easy,,,,No
1929,Concatenation of Array,https://leetcode.com/problems/concatenation-of-array/,Easy,,,,No
2142,The Number of Passengers in Each Bus I,https://leetcode.com/problems/the-number-of-passengers-in-each-bus-i/,Medium,,,,Yes
3077,Maximum Strength of K Disjoint Subarrays,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays/,Hard,,,,No
3138,Minimum Length of Anagram Concatenation,https://leetcode.com/problems/minimum-length-of-anagram-concatenation/,Medium,,,,No
