ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,100.0%,6m+,47.1%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,62.5%,6m+,67.9%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,,,,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,62.5%,6m+,56.2%,No
92,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/,Medium,87.5%,6m+,51.0%,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,,No
107,Binary Tree Level Order Traversal II,https://leetcode.com/problems/binary-tree-level-order-traversal-ii/,Medium,,,,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,,,,No
257,Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths/,Easy,87.5%,6m+,68.2%,No
268,Missing Number,https://leetcode.com/problems/missing-number/,Easy,62.5%,6m+,71.6%,No
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,87.5%,6m+,56.3%,No
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,,,,No
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,,,,No
367,Valid Perfect Square,https://leetcode.com/problems/valid-perfect-square/,Easy,,,,No
438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,75.0%,6m+,53.3%,No
535,Encode and Decode TinyURL,https://leetcode.com/problems/encode-and-decode-tinyurl/,Medium,62.5%,,86.6%,No
713,Subarray Product Less Than K,https://leetcode.com/problems/subarray-product-less-than-k/,Medium,,,,No
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/,Medium,75.0%,6m+,48.9%,No
994,Rotting Oranges,https://leetcode.com/problems/rotting-oranges/,Medium,,,,No
1266,Minimum Time Visiting All Points,https://leetcode.com/problems/minimum-time-visiting-all-points/,Easy,,,,No
1321,Restaurant Growth,https://leetcode.com/problems/restaurant-growth/,Medium,62.5%,,58.2%,No
2043,Simple Bank System,https://leetcode.com/problems/simple-bank-system/,Medium,62.5%,,69.8%,No
