ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,5.8%,6m+,57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,5.7%,"3m,6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,50.0%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,6.2%,6m+,37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,5.4%,"3m,6m,6m+",53.5%,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,50.0%,"6m,6m+",59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,6.0%,6m+,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,4.4%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,6.2%,6m+,38.6%,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,37.5%,6m+,65.5%,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,37.5%,6m+,43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,4.1%,6m+,67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,6.0%,,,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,6.5%,6m+,58.8%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,5.8%,"6m,6m+",65.3%,No
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,Medium,,,,No
30,Substring with Concatenation of All Words,https://leetcode.com/problems/substring-with-concatenation-of-all-words/,Hard,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,,,,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,5.7%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,,,,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,,,,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,4.6%,6m+,76.1%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,6.4%,6m+,42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,6.3%,6m+,66.8%,No
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,,,,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,6.8%,6m+,72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,4.7%,6m+,38.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,37.5%,6m+,74.9%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,50.0%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,5.0%,,56.1%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,9.2%,6m+,51.1%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,,,,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,5.0%,6m+,69.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,6.1%,6m+,46.9%,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,,,,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,4.8%,6m+,46.8%,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,,,,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,4.4%,6m+,58.1%,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,,,,No
89,Gray Code,https://leetcode.com/problems/gray-code/,Medium,,,,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,,,,No
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,,,,No
97,Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,,,,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,5.8%,6m+,35.3%,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,,No
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,6.2%,"3m,6m",68.3%,No
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,,,,No
109,Convert Sorted List to Binary Search Tree,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,Medium,,,,No
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,7.1%,6m+,51.5%,No
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,5.9%,6m+,56.4%,No
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,,,,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,6.0%,"6m,6m+",42.0%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,2.9%,6m+,52.8%,No
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,,,,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,7.2%,6m+,44.9%,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,,,,No
129,Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/,Medium,,,,No
134,Gas Station,https://leetcode.com/problems/gas-station/,Medium,5.6%,6m+,47.5%,No
135,Candy,https://leetcode.com/problems/candy/,Hard,4.4%,6m+,47.9%,No
136,Single Number,https://leetcode.com/problems/single-number/,Easy,,,,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,8.3%,6m+,49.1%,No
140,Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,,,,No
143,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,,,,No
144,Binary Tree Preorder Traversal,https://leetcode.com/problems/binary-tree-preorder-traversal/,Easy,25.0%,,75.1%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,9.4%,"6m,6m+",46.8%,No
152,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Medium,37.5%,6m+,36.0%,No
155,Min Stack,https://leetcode.com/problems/min-stack/,Medium,6.1%,"6m,6m+",57.7%,No
157,Read N Characters Given Read4,https://leetcode.com/problems/read-n-characters-given-read4/,Easy,,,,Yes
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,37.5%,6m+,46.8%,No
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,Medium,,,,No
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,,,,No
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,,,,No
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,Medium,,,,No
179,Largest Number,https://leetcode.com/problems/largest-number/,Medium,,,,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,,,,No
197,Rising Temperature,https://leetcode.com/problems/rising-temperature/,Easy,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,,,,No
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,7.6%,"6m,6m+",63.8%,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,,,,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,,,,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,,,,No
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,5.2%,"30d,3m,6m",50.8%,No
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,,,,No
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,7.0%,6m+,55.0%,No
213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,4.5%,"3m,6m",44.6%,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,6.3%,"6m,6m+",68.8%,No
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii/,Hard,,,,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,7.0%,6m+,50.0%,No
224,Basic Calculator,https://leetcode.com/problems/basic-calculator/,Hard,37.5%,6m+,46.5%,No
229,Majority Element II,https://leetcode.com/problems/majority-element-ii/,Medium,,,,No
231,Power of Two,https://leetcode.com/problems/power-of-two/,Easy,,,,No
233,Number of Digit One,https://leetcode.com/problems/number-of-digit-one/,Hard,6.1%,6m+,37.7%,No
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,6.1%,6m+,68.7%,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,5.0%,6m+,68.6%,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,5.8%,6m+,48.4%,No
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,,,,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,7.6%,6m+,52.5%,Yes
255,Verify Preorder Sequence in Binary Search Tree,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree/,Medium,8.8%,6m+,51.7%,Yes
