ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,,,,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,1.8%,,37.3%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,87.5%,6m+,38.6%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,87.5%,6m+,67.9%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,,,,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,,,,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,,,,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,,,,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,,,,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,3.0%,6m+,40.5%,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,,,,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,,,,No
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,,,,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,,No
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,87.5%,6m+,56.4%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,87.5%,6m+,52.8%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,6.4%,6m+,46.8%,No
148,Sort List,https://leetcode.com/problems/sort-list/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,,,,Yes
283,Move Zeroes,https://leetcode.com/problems/move-zeroes/,Easy,,,,No
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,,No
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/,Medium,,,,No
385,Mini Parser,https://leetcode.com/problems/mini-parser/,Medium,,,,No
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/,Easy,,,,No
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,Medium,,,,No
438,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,Medium,,,,No
449,Serialize and Deserialize BST,https://leetcode.com/problems/serialize-and-deserialize-bst/,Medium,87.5%,6m+,59.4%,No
721,Accounts Merge,https://leetcode.com/problems/accounts-merge/,Medium,,,,No
815,Bus Routes,https://leetcode.com/problems/bus-routes/,Hard,,,,No
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/,Medium,87.5%,6m+,48.9%,No
2225,Find Players With Zero or One Losses,https://leetcode.com/problems/find-players-with-zero-or-one-losses/,Medium,,,,No
1517,Find Users With Valid E-Mails,https://leetcode.com/problems/find-users-with-valid-e-mails/,Easy,,,,No
1757,Recyclable and Low Fat Products,https://leetcode.com/problems/recyclable-and-low-fat-products/,Easy,,,,No
1885,Count Pairs in Two Arrays,https://leetcode.com/problems/count-pairs-in-two-arrays/,Medium,87.5%,6m+,60.4%,Yes
1926,Nearest Exit from Entrance in Maze,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/,Medium,,,,No
2289,Steps to Make Array Non-decreasing,https://leetcode.com/problems/steps-to-make-array-non-decreasing/,Medium,,,,No
2444,Count Subarrays With Fixed Bounds,https://leetcode.com/problems/count-subarrays-with-fixed-bounds/,Hard,,,,No
2623,Memoize,https://leetcode.com/problems/memoize/,Medium,,,,No
