ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,,,,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,100.0%,6m+,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,,,,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,,,,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,,,,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,1.3%,6m+,43.7%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,100.0%,6m+,65.3%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,75.0%,,66.8%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,3.0%,,72.2%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,,,,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium,,,,No
100,Same Tree,https://leetcode.com/problems/same-tree/,Easy,,,,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,4.3%,"6m,6m+",63.1%,No
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,,,,No
