ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,1.8%,6m+,69.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,,,,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,100.0%,6m+,58.1%,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,,,,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,,,,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,,,,No
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits/,Medium,,,,No
649,Dota2 Senate,https://leetcode.com/problems/dota2-senate/,Medium,,,,No
739,Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,Medium,,,,No
907,Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums/,Medium,,,,No
930,Binary Subarrays With Sum,https://leetcode.com/problems/binary-subarrays-with-sum/,Medium,,,,No
959,Regions Cut By Slashes,https://leetcode.com/problems/regions-cut-by-slashes/,Medium,,,,No
975,Odd Even Jump,https://leetcode.com/problems/odd-even-jump/,Hard,,,,No
1314,Matrix Block Sum,https://leetcode.com/problems/matrix-block-sum/,Medium,,,,No
1155,Number of Dice Rolls With Target Sum,https://leetcode.com/problems/number-of-dice-rolls-with-target-sum/,Medium,,,,No
