ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,50.0%,6m+,38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,50.0%,6m+,65.5%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
29,Divide Two Integers,https://leetcode.com/problems/divide-two-integers/,Medium,,,,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,4.2%,6m+,44.1%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,6.8%,6m+,64.1%,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,5.0%,6m+,65.4%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,5.0%,6m+,76.1%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,3.6%,6m+,59.0%,No
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,4.5%,6m+,31.3%,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,4.8%,6m+,72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,,,,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,6.4%,6m+,51.1%,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,37.5%,,67.8%,No
67,Add Binary,https://leetcode.com/problems/add-binary/,Easy,50.0%,6m+,57.6%,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,,,,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,50.0%,6m+,60.1%,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,7.2%,"6m,6m+",46.9%,No
