ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,75.0%,6m,57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,100.0%,6m+,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,,,,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,62.5%,6m+,37.3%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,,,,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,,,,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,2.5%,6m+,59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,2.9%,6m+,38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,4.8%,6m+,65.5%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,3.6%,"6m,6m+",43.7%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,3.5%,6m+,65.3%,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,,,,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,,,,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,62.5%,6m+,59.0%,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,3.7%,6m+,42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,3.4%,"6m,6m+",66.8%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,62.5%,6m+,79.3%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,75.0%,6m+,53.0%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,3.3%,"6m,6m+",51.1%,No
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,,,,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,,,,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,,,,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,,,,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,,,,No
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,3.0%,"6m,6m+",56.4%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,,,,No
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,1.3%,,,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,2.6%,,,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,0.9%,6m+,47.0%,No
134,Gas Station,https://leetcode.com/problems/gas-station/,Medium,,,,No
136,Single Number,https://leetcode.com/problems/single-number/,Easy,,,,No
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,5.3%,6m+,46.8%,No
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,1.5%,,57.0%,No
157,Read N Characters Given Read4,https://leetcode.com/problems/read-n-characters-given-read4/,Easy,,,,Yes
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,62.5%,6m+,63.2%,No
187,Repeated DNA Sequences,https://leetcode.com/problems/repeated-dna-sequences/,Medium,,,,No
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,,,,No
190,Reverse Bits,https://leetcode.com/problems/reverse-bits/,Easy,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,5.3%,"6m,6m+",63.8%,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,62.5%,6m+,59.2%,No
203,Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/,Easy,,,,No
204,Count Primes,https://leetcode.com/problems/count-primes/,Medium,,,,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,50.0%,,80.2%,No
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,62.5%,6m+,50.8%,No
