ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,87.5%,6m+,56.1%,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,,,,No
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,,,,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,3.3%,6m+,44.9%,No
135,Candy,https://leetcode.com/problems/candy/,Hard,,,,No
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance/,Medium,,,,Yes
224,Basic Calculator,https://leetcode.com/problems/basic-calculator/,Hard,,,,No
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,2.8%,6m+,46.6%,No
288,Unique Word Abbreviation,https://leetcode.com/problems/unique-word-abbreviation/,Medium,,,,Yes
315,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,Hard,,,,No
345,Reverse Vowels of a String,https://leetcode.com/problems/reverse-vowels-of-a-string/,Easy,,,,No
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/,Easy,,,,Yes
443,String Compression,https://leetcode.com/problems/string-compression/,Medium,1.4%,,59.5%,No
445,Add Two Numbers II,https://leetcode.com/problems/add-two-numbers-ii/,Medium,,,,No
523,Continuous Subarray Sum,https://leetcode.com/problems/continuous-subarray-sum/,Medium,,,,No
527,Word Abbreviation,https://leetcode.com/problems/word-abbreviation/,Hard,,,,Yes
539,Minimum Time Difference,https://leetcode.com/problems/minimum-time-difference/,Medium,,,,No
772,Basic Calculator III,https://leetcode.com/problems/basic-calculator-iii/,Hard,,,,Yes
1166,Design File System,https://leetcode.com/problems/design-file-system/,Medium,,,,Yes
1190,Reverse Substrings Between Each Pair of Parentheses,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses/,Medium,,,,No
1345,Jump Game IV,https://leetcode.com/problems/jump-game-iv/,Hard,,,,No
1743,Restore the Array From Adjacent Pairs,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs/,Medium,,,,No
2043,Simple Bank System,https://leetcode.com/problems/simple-bank-system/,Medium,87.5%,6m+,69.8%,No
2251,Number of Flowers in Full Bloom,https://leetcode.com/problems/number-of-flowers-in-full-bloom/,Hard,,,,No
2672,Number of Adjacent Elements With the Same Color,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color/,Medium,,,,No
2694,Event Emitter,https://leetcode.com/problems/event-emitter/,Medium,,,,No
3043,Find the Length of the Longest Common Prefix,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix/,Medium,87.5%,6m+,57.0%,No
3071,Minimum Operations to Write the Letter Y on a Grid,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid/,Medium,,,,No
