ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,2.1%,"6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,0.9%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,5.2%,"3m,6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,3.1%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,4.8%,"3m,6m,6m+",37.3%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,,,,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,,,,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,3.4%,6m+,30.4%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,3.4%,"6m,6m+",59.5%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,3.1%,6m+,70.4%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,2.2%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,1.8%,6m+,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,4.3%,"6m,6m+",38.6%,No
16,3Sum Closest,https://leetcode.com/problems/3sum-closest/,Medium,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,25.0%,6m+,65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,0.9%,6m+,51.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,3.7%,"6m,6m+",43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,1.4%,6m+,67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,4.8%,"6m,6m+",78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,5.7%,"3m,6m,6m+",58.8%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,1.9%,6m+,68.9%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,4.3%,6m+,65.3%,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,3.3%,6m+,44.7%,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,3.8%,"6m,6m+",38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,5.2%,"3m,6m,6m+",44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,3.2%,6m+,48.3%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,25.0%,6m+,64.1%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,4.6%,6m+,76.1%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,3.8%,6m+,59.0%,No
41,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,Hard,25.0%,6m+,42.4%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,4.6%,6m+,66.8%,No
43,Multiply Strings,https://leetcode.com/problems/multiply-strings/,Medium,3.6%,6m+,43.5%,No
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,1.0%,6m+,31.3%,No
45,Jump Game II,https://leetcode.com/problems/jump-game-ii/,Medium,3.2%,6m+,42.4%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,4.3%,6m+,81.6%,No
47,Permutations II,https://leetcode.com/problems/permutations-ii/,Medium,3.9%,6m+,62.9%,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,3.5%,"6m,6m+",72.2%,No
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/,Medium,37.5%,6m+,38.2%,No
