ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,4.5%,6m+,57.1%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,87.5%,6m+,38.5%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,4.1%,6m+,37.3%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,,,,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,3.1%,6m+,51.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,75.0%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,4.2%,6m+,48.3%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,4.3%,6m+,79.3%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,5.8%,6m+,50.0%,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,62.5%,6m+,53.5%,No
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,,,,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,,,,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,62.5%,6m+,52.8%,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
155,Min Stack,https://leetcode.com/problems/min-stack/,Medium,5.9%,6m+,57.7%,No
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance/,Medium,,,,Yes
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,,,,No
184,Department Highest Salary,https://leetcode.com/problems/department-highest-salary/,Medium,62.5%,6m+,57.3%,No
197,Rising Temperature,https://leetcode.com/problems/rising-temperature/,Easy,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,3.8%,6m+,63.8%,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,2.4%,6m+,48.0%,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,,,,No
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,,,,No
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Easy,,,,No
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii/,Hard,,,,No
