ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,,,,No
96,Unique Binary Search Trees,https://leetcode.com/problems/unique-binary-search-trees/,Medium,100.0%,6m+,63.3%,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,,,,No
143,Reorder List,https://leetcode.com/problems/reorder-list/,Medium,,,,No
229,Majority Element II,https://leetcode.com/problems/majority-element-ii/,Medium,,,,No
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,,No
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/,Medium,,,,No
460,LFU Cache,https://leetcode.com/problems/lfu-cache/,Hard,,,,No
540,Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/,Medium,,,,No
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,,,,No
934,Shortest Bridge,https://leetcode.com/problems/shortest-bridge/,Medium,100.0%,6m,59.3%,No
2434,Using a Robot to Print the Lexicographically Smallest String,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string/,Medium,100.0%,6m+,62.5%,No
2998,Minimum Number of Operations to Make X and Y Equal,https://leetcode.com/problems/minimum-number-of-operations-to-make-x-and-y-equal/,Medium,,,,No
