ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,6.9%,6m+,57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,6.2%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,5.4%,6m+,38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,25.0%,,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,5.4%,6m+,37.3%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,5.0%,6m+,31.5%,No
8,String to Integer (atoi),https://leetcode.com/problems/string-to-integer-atoi/,Medium,3.1%,6m+,20.6%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,25.0%,6m+,60.2%,No
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,5.4%,6m+,30.4%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,37.5%,6m+,59.5%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,5.7%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,5.2%,"6m,6m+",47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,25.0%,6m+,38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,6.3%,6m+,65.5%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,5.1%,6m+,43.7%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,5.8%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,5.1%,"6m,6m+",58.8%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,3.5%,6m+,68.9%,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,3.7%,,65.3%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,25.0%,6m+,62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,3.2%,6m+,61.3%,No
31,Next Permutation,https://leetcode.com/problems/next-permutation/,Medium,5.8%,6m+,44.7%,No
32,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/,Hard,5.8%,6m+,38.0%,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,4.2%,6m+,44.1%,No
34,Find First and Last Position of Element in Sorted Array,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,Medium,5.6%,6m+,48.3%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,6.8%,6m+,64.1%,No
37,Sudoku Solver,https://leetcode.com/problems/sudoku-solver/,Hard,4.7%,6m+,65.4%,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,4.4%,6m+,76.1%,No
40,Combination Sum II,https://leetcode.com/problems/combination-sum-ii/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,6.6%,6m+,66.8%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,4.5%,6m+,81.6%,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,5.3%,6m+,79.3%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,5.8%,6m+,72.2%,No
51,N-Queens,https://leetcode.com/problems/n-queens/,Hard,4.4%,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,5.5%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,5.4%,6m+,56.1%,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,7.4%,"6m,6m+",51.1%,No
57,Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,4.8%,6m+,44.7%,No
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,4.5%,6m+,67.8%,No
66,Plus One,https://leetcode.com/problems/plus-one/,Easy,,,,No
67,Add Binary,https://leetcode.com/problems/add-binary/,Easy,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,8.2%,6m+,50.4%,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,4.5%,6m+,41.4%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,25.0%,6m+,53.9%,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,2.8%,6m+,50.0%,No
73,Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,3.4%,,62.4%,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,5.3%,6m+,46.9%,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,4.0%,6m+,82.0%,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,7.2%,"3m,6m,6m+",46.8%,No
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,25.0%,6m+,64.3%,No
81,Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,25.0%,6m+,39.7%,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,,,,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,4.3%,6m+,49.3%,No
86,Partition List,https://leetcode.com/problems/partition-list/,Medium,,,,No
91,Decode Ways,https://leetcode.com/problems/decode-ways/,Medium,5.6%,6m+,37.6%,No
97,Interleaving String,https://leetcode.com/problems/interleaving-string/,Medium,,,,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,25.0%,6m+,35.3%,No
104,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,Easy,2.3%,6m+,77.9%,No
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,25.0%,6m+,68.3%,No
106,Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/,Medium,,,,No
108,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/,Easy,,,,No
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,,,,No
112,Path Sum,https://leetcode.com/problems/path-sum/,Easy,,,,No
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,,,,No
116,Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/,Medium,,,,No
117,Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,5.4%,6m+,56.4%,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,,,,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,4.3%,6m+,42.0%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,2.5%,6m+,52.8%,No
126,Word Ladder II,https://leetcode.com/problems/word-ladder-ii/,Hard,5.8%,6m+,27.5%,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,6.1%,6m+,44.9%,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,5.1%,6m+,47.0%,No
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,4.7%,6m+,44.7%,No
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,,,,No
133,Clone Graph,https://leetcode.com/problems/clone-graph/,Medium,4.3%,6m+,64.7%,No
135,Candy,https://leetcode.com/problems/candy/,Hard,50.0%,6m+,47.9%,No
138,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/,Medium,3.5%,6m+,62.4%,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,6.3%,"3m,6m,6m+",49.1%,No
140,Word Break II,https://leetcode.com/problems/word-break-ii/,Hard,5.6%,6m+,55.1%,No
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,25.0%,6m+,53.9%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,7.3%,"3m,6m,6m+",46.8%,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,,,,No
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,3.2%,6m+,53.8%,No
155,Min Stack,https://leetcode.com/problems/min-stack/,Medium,3.2%,6m+,57.7%,No
159,Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,Medium,,,,Yes
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,,,,No
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance/,Medium,5.2%,6m+,34.5%,Yes
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,5.2%,6m+,46.8%,No
171,Excel Sheet Column Number,https://leetcode.com/problems/excel-sheet-column-number/,Easy,2.8%,6m+,67.2%,No
173,Binary Search Tree Iterator,https://leetcode.com/problems/binary-search-tree-iterator/,Medium,5.7%,6m+,76.1%,No
174,Dungeon Game,https://leetcode.com/problems/dungeon-game/,Hard,7.3%,"6m,6m+",40.8%,No
180,Consecutive Numbers,https://leetcode.com/problems/consecutive-numbers/,Medium,,,,No
186,Reverse Words in a String II,https://leetcode.com/problems/reverse-words-in-a-string-ii/,Medium,4.6%,6m+,56.6%,Yes
188,Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,Hard,,,,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,,,,No
198,House Robber,https://leetcode.com/problems/house-robber/,Medium,4.4%,6m+,52.9%,No
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,4.2%,"6m,6m+",69.5%,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,7.7%,"30d,3m,6m,6m+",63.8%,No
202,Happy Number,https://leetcode.com/problems/happy-number/,Easy,3.5%,6m+,59.2%,No
