ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,100.0%,6m+,66.8%,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,,,,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,,,,No
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,,,,No
135,Candy,https://leetcode.com/problems/candy/,Hard,2.9%,6m+,47.9%,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,2.2%,6m+,46.8%,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,100.0%,6m+,63.8%,No
207,Course Schedule,https://leetcode.com/problems/course-schedule/,Medium,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,,,,No
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/,Medium,,,,No
390,Elimination Game,https://leetcode.com/problems/elimination-game/,Medium,,,,No
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/,Medium,3.5%,"3m,6m",64.0%,No
417,Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/,Medium,3.4%,,60.6%,No
424,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,Medium,,,,No
452,Minimum Number of Arrows to Burst Balloons,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/,Medium,,,,No
639,Decode Ways II,https://leetcode.com/problems/decode-ways-ii/,Hard,,,,No
664,Strange Printer,https://leetcode.com/problems/strange-printer/,Hard,,,,No
694,Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands/,Medium,,,,Yes
875,Koko Eating Bananas,https://leetcode.com/problems/koko-eating-bananas/,Medium,,,,No
968,Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras/,Hard,,,,No
1472,Design Browser History,https://leetcode.com/problems/design-browser-history/,Medium,,,,No
1482,Minimum Number of Days to Make m Bouquets,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets/,Medium,,,,No
1552,Magnetic Force Between Two Balls,https://leetcode.com/problems/magnetic-force-between-two-balls/,Medium,,,,No
1574,Shortest Subarray to be Removed to Make Array Sorted,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted/,Medium,,,,No
1653,Minimum Deletions to Make String Balanced,https://leetcode.com/problems/minimum-deletions-to-make-string-balanced/,Medium,100.0%,6m+,68.2%,No
1799,Maximize Score After N Operations,https://leetcode.com/problems/maximize-score-after-n-operations/,Hard,,,,No
1823,Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game/,Medium,,,,No
1833,Maximum Ice Cream Bars,https://leetcode.com/problems/maximum-ice-cream-bars/,Medium,,,,No
1838,Frequency of the Most Frequent Element,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,Medium,,,,No
2477,Minimum Fuel Cost to Report to the Capital,https://leetcode.com/problems/minimum-fuel-cost-to-report-to-the-capital/,Medium,,,,No
2968,Apply Operations to Maximize Frequency Score,https://leetcode.com/problems/apply-operations-to-maximize-frequency-score/,Hard,,,,No
