ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,75.0%,6m+,57.1%,No
12,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,Medium,,,,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,87.5%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,,,,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,75.0%,6m+,38.6%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,2.5%,6m+,58.8%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,,,,No
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/,Easy,,,,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
130,Surrounded Regions,https://leetcode.com/problems/surrounded-regions/,Medium,,,,No
131,Palindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/,Medium,,,,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,,,,No
189,Rotate Array,https://leetcode.com/problems/rotate-array/,Medium,,,,No
212,Word Search II,https://leetcode.com/problems/word-search-ii/,Hard,,,,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,2.3%,6m+,68.6%,No
268,Missing Number,https://leetcode.com/problems/missing-number/,Easy,,,,No
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,Hard,6.7%,6m+,34.8%,No
289,Game of Life,https://leetcode.com/problems/game-of-life/,Medium,4.8%,6m+,72.3%,No
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,,,,No
341,Flatten Nested List Iterator,https://leetcode.com/problems/flatten-nested-list-iterator/,Medium,75.0%,6m+,65.6%,No
346,Moving Average from Data Stream,https://leetcode.com/problems/moving-average-from-data-stream/,Easy,,,,Yes
366,Find Leaves of Binary Tree,https://leetcode.com/problems/find-leaves-of-binary-tree/,Medium,,,,Yes
733,Flood Fill,https://leetcode.com/problems/flood-fill/,Easy,,,,No
992,Subarrays with K Different Integers,https://leetcode.com/problems/subarrays-with-k-different-integers/,Hard,,,,No
2020,Number of Accounts That Did Not Stream,https://leetcode.com/problems/number-of-accounts-that-did-not-stream/,Medium,75.0%,6m+,72.0%,Yes
