ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
10,Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/,Hard,4.6%,,30.4%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,62.5%,6m+,64.1%,No
44,Wildcard Matching,https://leetcode.com/problems/wildcard-matching/,Hard,,,,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,,No
55,Jump Game,https://leetcode.com/problems/jump-game/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
64,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,4.1%,6m+,50.4%,No
69,Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,,,,No
84,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,2.3%,6m+,49.3%,No
85,Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,,,,No
139,Word Break,https://leetcode.com/problems/word-break/,Medium,,,,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,,,,No
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,4.0%,6m+,30.2%,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,2.9%,6m+,46.8%,No
191,Number of 1 Bits,https://leetcode.com/problems/number-of-1-bits/,Easy,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,4.1%,6m+,63.8%,No
208,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/,Medium,,,,No
210,Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,Medium,,,,No
213,House Robber II,https://leetcode.com/problems/house-robber-ii/,Medium,,,,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,,,,No
222,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes/,Easy,,,,No
229,Majority Element II,https://leetcode.com/problems/majority-element-ii/,Medium,,,,No
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,,,,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,,,,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,75.0%,6m+,52.5%,Yes
269,Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,Hard,4.5%,,,Yes
271,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,Medium,,,,Yes
295,Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/,Hard,,,,No
304,Range Sum Query 2D - Immutable,https://leetcode.com/problems/range-sum-query-2d-immutable/,Medium,,,,No
305,Number of Islands II,https://leetcode.com/problems/number-of-islands-ii/,Hard,,,,Yes
317,Shortest Distance from All Buildings,https://leetcode.com/problems/shortest-distance-from-all-buildings/,Hard,75.0%,6m+,44.8%,Yes
322,Coin Change,https://leetcode.com/problems/coin-change/,Medium,,,,No
323,Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,Medium,,,,Yes
337,House Robber III,https://leetcode.com/problems/house-robber-iii/,Medium,,,,No
348,Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe/,Medium,62.5%,6m+,58.7%,Yes
359,Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/,Easy,6.4%,,76.8%,Yes
373,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/,Medium,,,,No
394,Decode String,https://leetcode.com/problems/decode-string/,Medium,,,,No
410,Split Array Largest Sum,https://leetcode.com/problems/split-array-largest-sum/,Hard,,,,No
419,Battleships in a Board,https://leetcode.com/problems/battleships-in-a-board/,Medium,,,,No
