ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,,,,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,75.0%,6m+,72.2%,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
79,Word Search,https://leetcode.com/problems/word-search/,Medium,75.0%,6m+,46.8%,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,100.0%,6m+,63.8%,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,62.5%,,50.0%,No
240,Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,Medium,75.0%,6m+,56.8%,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,75.0%,6m,52.5%,Yes
278,First Bad Version,https://leetcode.com/problems/first-bad-version/,Easy,,,,No
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,Medium,,,,No
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/,Easy,87.5%,"3m,6m,6m+",44.0%,No
935,Knight Dialer,https://leetcode.com/problems/knight-dialer/,Medium,,,,No
973,K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,Medium,,,,No
977,Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,Easy,75.0%,6m+,73.6%,No
1152,Analyze User Website Visit Pattern,https://leetcode.com/problems/analyze-user-website-visit-pattern/,Medium,87.5%,6m,44.2%,Yes
1047,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string/,Easy,100.0%,"3m,6m,6m+",72.8%,No
1091,Shortest Path in Binary Matrix,https://leetcode.com/problems/shortest-path-in-binary-matrix/,Medium,,,,No
1209,Remove All Adjacent Duplicates in String II,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii/,Medium,,,,No
1570,Dot Product of Two Sparse Vectors,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/,Medium,,,,Yes
1926,Nearest Exit from Entrance in Maze,https://leetcode.com/problems/nearest-exit-from-entrance-in-maze/,Medium,,,,No
2570,Merge Two 2D Arrays by Summing Values,https://leetcode.com/problems/merge-two-2d-arrays-by-summing-values/,Easy,,,,No
