ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,8.1%,"6m,6m+",57.1%,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,6.7%,6m+,47.9%,No
3,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,8.7%,"30d,3m,6m,6m+",38.5%,No
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,Hard,6.6%,6m+,45.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,8.2%,"6m,6m+",37.3%,No
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/,Medium,37.5%,6m+,31.5%,No
9,Palindrome Number,https://leetcode.com/problems/palindrome-number/,Easy,25.0%,,60.2%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,6.3%,"3m,6m,6m+",59.5%,No
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/,Easy,25.0%,6m+,66.2%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,,,,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,3.8%,6m+,65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,4.4%,6m+,40.0%,No
19,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,Medium,5.6%,6m+,51.0%,No
20,Valid Parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,8.9%,6m+,43.7%,No
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/,Easy,7.3%,6m+,67.9%,No
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/,Medium,9.1%,6m+,78.2%,No
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/,Hard,8.4%,6m+,58.8%,No
24,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/,Medium,2.5%,6m+,68.9%,No
26,Remove Duplicates from Sorted Array,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,Easy,4.9%,6m+,62.2%,No
27,Remove Element,https://leetcode.com/problems/remove-element/,Easy,5.7%,6m+,61.3%,No
28,Find the Index of the First Occurrence in a String,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,Easy,,,,No
33,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/,Medium,6.2%,"6m,6m+",44.1%,No
35,Search Insert Position,https://leetcode.com/problems/search-insert-position/,Easy,25.0%,6m+,50.7%,No
36,Valid Sudoku,https://leetcode.com/problems/valid-sudoku/,Medium,,,,No
39,Combination Sum,https://leetcode.com/problems/combination-sum/,Medium,,,,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,8.3%,"6m,6m+",66.8%,No
46,Permutations,https://leetcode.com/problems/permutations/,Medium,,,,No
48,Rotate Image,https://leetcode.com/problems/rotate-image/,Medium,,,,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,9.4%,"6m,6m+",72.2%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,37.5%,6m+,53.0%,No
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,,,,No
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,9.4%,6m+,51.1%,No
60,Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,,,,No
61,Rotate List,https://leetcode.com/problems/rotate-list/,Medium,,,,No
62,Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,,,,No
63,Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,,,,No
66,Plus One,https://leetcode.com/problems/plus-one/,Easy,,,,No
67,Add Binary,https://leetcode.com/problems/add-binary/,Easy,,,,No
68,Text Justification,https://leetcode.com/problems/text-justification/,Hard,25.0%,6m+,50.4%,No
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,,,,No
71,Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,7.6%,6m+,50.0%,No
72,Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,3.4%,,53.5%,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,7.2%,6m+,46.9%,No
78,Subsets,https://leetcode.com/problems/subsets/,Medium,,,,No
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,,,,No
82,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium,,,,No
83,Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,,,,No
88,Merge Sorted Array,https://leetcode.com/problems/merge-sorted-array/,Easy,7.4%,"6m,6m+",54.4%,No
98,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/,Medium,8.5%,6m+,35.3%,No
101,Symmetric Tree,https://leetcode.com/problems/symmetric-tree/,Easy,8.1%,6m+,60.7%,No
102,Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/,Medium,3.7%,6m+,72.2%,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,6.0%,6m+,63.1%,No
105,Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,Medium,,,,No
110,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,Easy,5.1%,6m+,57.8%,No
115,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/,Hard,,,,No
120,Triangle,https://leetcode.com/problems/triangle/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,6.4%,6m+,56.4%,No
122,Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,Medium,,,,No
123,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,Hard,,,,No
124,Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,Hard,7.0%,6m+,42.0%,No
125,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,Easy,9.6%,"3m,6m,6m+",52.8%,No
127,Word Ladder,https://leetcode.com/problems/word-ladder/,Hard,,,,No
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/,Medium,,,,No
136,Single Number,https://leetcode.com/problems/single-number/,Easy,25.0%,6m+,77.3%,No
137,Single Number II,https://leetcode.com/problems/single-number-ii/,Medium,,,,No
141,Linked List Cycle,https://leetcode.com/problems/linked-list-cycle/,Easy,25.0%,6m+,53.9%,No
146,LRU Cache,https://leetcode.com/problems/lru-cache/,Medium,8.8%,"6m,6m+",46.8%,No
149,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line/,Hard,,,,No
150,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/,Medium,7.3%,6m+,57.0%,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,,,,No
153,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,Medium,5.3%,6m+,53.8%,No
155,Min Stack,https://leetcode.com/problems/min-stack/,Medium,8.0%,"6m,6m+",57.7%,No
159,Longest Substring with At Most Two Distinct Characters,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/,Medium,,,,Yes
160,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/,Easy,,,,No
161,One Edit Distance,https://leetcode.com/problems/one-edit-distance/,Medium,12.9%,"6m,6m+",34.5%,Yes
165,Compare Version Numbers,https://leetcode.com/problems/compare-version-numbers/,Medium,,,,No
167,Two Sum II - Input Array Is Sorted,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,Medium,5.3%,6m+,64.6%,No
169,Majority Element,https://leetcode.com/problems/majority-element/,Easy,25.0%,6m+,66.1%,No
181,Employees Earning More Than Their Managers,https://leetcode.com/problems/employees-earning-more-than-their-managers/,Easy,3.2%,,72.8%,No
199,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/,Medium,6.0%,6m+,69.5%,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,8.7%,"6m,6m+",63.8%,No
204,Count Primes,https://leetcode.com/problems/count-primes/,Medium,,,,No
205,Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/,Easy,9.2%,"6m,6m+",48.0%,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,37.5%,6m+,80.2%,No
209,Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,Medium,37.5%,6m+,51.0%,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,,,,No
220,Contains Duplicate III,https://leetcode.com/problems/contains-duplicate-iii/,Hard,25.0%,6m+,24.4%,No
221,Maximal Square,https://leetcode.com/problems/maximal-square/,Medium,,,,No
226,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,Easy,,,,No
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,Medium,6.1%,6m+,46.6%,No
228,Summary Ranges,https://leetcode.com/problems/summary-ranges/,Easy,12.5%,"30d,3m,6m,6m+",53.9%,No
230,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,Medium,,,,No
232,Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,Easy,6.4%,6m+,69.3%,No
234,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,Easy,5.1%,6m+,57.4%,No
235,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,Medium,37.5%,6m+,70.0%,No
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,Medium,7.5%,6m+,68.7%,No
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Medium,6.4%,"3m,6m,6m+",68.6%,No
239,Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,Hard,25.0%,6m+,48.4%,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,37.5%,6m+,67.8%,No
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,Medium,,,,Yes
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/,Medium,7.6%,6m+,56.3%,No
