ID,Title,URL,Difficulty,Frequency Score,Recency,Acceptance %,Premium
1,Two Sum,https://leetcode.com/problems/two-sum/,Easy,,,,No
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/,Medium,0.9%,6m+,47.9%,No
5,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,50.0%,6m+,37.3%,No
6,Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/,Medium,7.2%,6m+,53.5%,No
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Medium,1.6%,6m+,59.5%,No
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,Easy,50.0%,,47.1%,No
15,3Sum,https://leetcode.com/problems/3sum/,Medium,50.0%,6m+,38.6%,No
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,50.0%,6m+,65.5%,No
18,4Sum,https://leetcode.com/problems/4sum/,Medium,,,,No
25,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group/,Hard,50.0%,6m+,65.3%,No
42,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Hard,5.3%,6m+,66.8%,No
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/,Medium,50.0%,6m+,72.2%,No
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,,,,No
58,Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,,,,No
74,Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,,,,No
75,Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,,,,No
76,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,3.8%,6m+,46.9%,No
80,Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,,,,No
93,Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/,Medium,,,,No
103,Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,Medium,,,,No
114,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/,Medium,,,,No
121,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Easy,2.4%,,56.4%,No
151,Reverse Words in a String,https://leetcode.com/problems/reverse-words-in-a-string/,Medium,3.0%,6m+,55.5%,No
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/,Medium,,,,No
200,Number of Islands,https://leetcode.com/problems/number-of-islands/,Medium,,,,No
206,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/,Easy,50.0%,6m+,80.3%,No
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,Medium,,,,No
242,Valid Anagram,https://leetcode.com/problems/valid-anagram/,Easy,1.1%,6m+,67.8%,No
268,Missing Number,https://leetcode.com/problems/missing-number/,Easy,,,,No
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,Hard,,,,No
290,Word Pattern,https://leetcode.com/problems/word-pattern/,Easy,,,,No
299,Bulls and Cows,https://leetcode.com/problems/bulls-and-cows/,Medium,5.7%,6m+,52.2%,No
318,Maximum Product of Word Lengths,https://leetcode.com/problems/maximum-product-of-word-lengths/,Medium,,,,No
334,Increasing Triplet Subsequence,https://leetcode.com/problems/increasing-triplet-subsequence/,Medium,,,,No
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,Easy,,,,No
394,Decode String,https://leetcode.com/problems/decode-string/,Medium,4.4%,"30d,3m,6m",62.2%,No
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits/,Medium,4.2%,6m+,36.4%,No
496,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/,Easy,,,,No
503,Next Greater Element II,https://leetcode.com/problems/next-greater-element-ii/,Medium,,,,No
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,Medium,,,,No
592,Fraction Addition and Subtraction,https://leetcode.com/problems/fraction-addition-and-subtraction/,Medium,7.4%,6m+,66.4%,No
509,Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,Easy,,,,No
991,Broken Calculator,https://leetcode.com/problems/broken-calculator/,Medium,62.5%,6m+,55.9%,No
996,Number of Squareful Arrays,https://leetcode.com/problems/number-of-squareful-arrays/,Hard,,,,No
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers/,Medium,,,,No
2074,Reverse Nodes in Even Length Groups,https://leetcode.com/problems/reverse-nodes-in-even-length-groups/,Medium,50.0%,6m+,63.6%,No
2131,Longest Palindrome by Concatenating Two Letter Words,https://leetcode.com/problems/longest-palindrome-by-concatenating-two-letter-words/,Medium,,,,No
2405,Optimal Partition of String,https://leetcode.com/problems/optimal-partition-of-string/,Medium,,,,No
3602,Hexadecimal and Hexatrigesimal Conversion,https://leetcode.com/problems/hexadecimal-and-hexatrigesimal-conversion/,Easy,50.0%,6m+,80.6%,No
3713,Longest Balanced Substring I,https://leetcode.com/problems/longest-balanced-substring-i/,Medium,,,,No
